Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHIP,RTIB,RTIBA,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,RTHII,,RTIBI,RTIBP
103,0,0,0,0,0.0414157,0.0646236,0,0,0,0.0380478,0,0.0221048,0.0459919,0,0,0.0173692,0,0,0.0398312,0.0546715,0.0365722,0.0432415,0.0227171,0.0785214,0.0390251,0.0616407,0.0784935,0.0531314,0.0293817,0.0606142,0.0638371,0.0382786,0.0396381,0.0185558,0.0466577,0.01552,0.0143114,0.032909,0,0.0273287,0.051759,0.033001,0,0,0.022284,0,0,0.0253993,0.0768168,0.0128254,0.00753825,0.0235142,0.0570471,0.0301284,0.0295961,0.0573683,0.0387727,0.0270432,0,0.00738639,0.0355873,0.00705269,0.0196681,0.0552958,0.055213,0,0,0,0,0,0,0
104,0,0,0,0,0.0413227,0.0647821,0,0,0,0.0391016,0,0.0236702,0.0471544,0,0,0.0175251,0,0,0.0397033,0.0546323,0.0382793,0.0430533,0.0248704,0.0777965,0.0387351,0.060794,0.0759211,0.0528028,0.0302156,0.0593479,0.0627792,0.0377392,0.0383234,0.016072,0.0467101,0.0156701,0.0139982,0.0339512,0,0.0276448,0.0502512,0.0331658,0,0,0.0222496,0,0,0.0253497,0.07758,0.0120746,0.00820087,0.0242028,0.0569938,0.030135,0.0296009,0.0568401,0.0390629,0.0273246,0,0.00738781,0.0356715,0.00711468,0.0195393,0.0553875,0.0549573,0,0,0,0,0,0,0
105,0,0,0,0,0.0411819,0.0649714,0,0,0,0.0401732,0,0.0235077,0.0482842,0,0,0.0177106,0,0,0.0396238,0.054851,0.0415608,0.0424954,0.0269486,0.0771379,0.0383048,0.0597514,0.0733096,0.0526336,0.0306014,0.0577299,0.0618028,0.0364479,0.0356672,0.0173219,0.0468354,0.0157902,0.0137589,0.0351415,0,0.027895,0.0490633,0.033358,0,0,0.0221912,0,0,0.0253134,0.0781437,0.0114373,0.00876352,0.0250287,0.0568681,0.0301198,0.0296041,0.0563156,0.0390044,0.02769,0,0.00768203,0.0357608,0.00720604,0.0194083,0.0554614,0.0546585,0,0,0,0,0,0,0
106,0,0,0,0,0.0412342,0.0653906,0,0,0,0.0414284,0,0.0220654,0.0499596,0,0,0.0169132,0,0,0.0406331,0.0547212,0.0424431,0.0411624,0.0231803,0.075632,0.0382186,0.056643,0.0726806,0.0539818,0.0295189,0.0598645,0.063578,0.0378033,0.0379673,0.018506,0.0467533,0.0149614,0.012806,0.0315446,0,0.0264629,0.0482486,0.0329726,0,0,0.0224934,0,0,0.0253454,0.0791782,0.0116363,0.00845117,0.0273892,0.055116,0.0303305,0.0289909,0.0547948,0.0390728,0.0296627,0,0.00626497,0.0354026,0.00683946,0.0196428,0.0561859,0.054199,0,0,0,0,0,0,0
107,0,0,0,0,0.0411037,0.0657911,0,0,0,0.0443526,0,0.0208743,0.0511905,0,0,0.016896,0,0,0.0410603,0.0547303,0.0441233,0.0398993,0.0222432,0.0744596,0.0377803,0.0542859,0.0723861,0.0555542,0.0291577,0.0612397,0.0649699,0.0382284,0.038813,0.0206062,0.0468989,0.0148863,0.0120875,0.034084,0,0.0290582,0.0488696,0.0329992,0,0,0.0223378,0,0,0.0251991,0.0789949,0.0130158,0.00894774,0.0265457,0.0539849,0.0300336,0.0285953,0.0552935,0.0389451,0.0265755,0,0.00548143,0.0356541,0.00654848,0.0193915,0.0567067,0.0533694,0,0,0,0,0,0,0.0341522
108,0,0,0,0,0.0410559,0.0660069,0,0,0,0.0461701,0,0.0200783,0.0519684,0,0,0.0164831,0,0,0.0416692,0.0538627,0.044688,0.0400595,0.0220352,0.0736789,0.0377499,0.0531301,0.0725981,0.0564915,0.0281334,0.0620934,0.0658499,0.0384097,0.0393253,0.0221754,0.0467931,0.0145889,0.0115709,0.0447573,0,0.0225242,0.0477028,0.032843,0,0,0.0226488,0,0,0.0252701,0.0775066,0.0187863,0.00900958,0.0414523,0.0527717,0.0304467,0.0260961,0.0584313,0.0441535,0.0289688,0,0.0161336,0.0353346,0.00642822,0.0197232,0.0570661,0.0532232,0,0,0,0,0,0,0.0379792
109,0,0,0,0,0.0408703,0.066265,0,0,0,0.0465666,0,0.0202183,0.0513953,0,0,0.0167691,0,0,0.0416293,0.0544267,0.0448389,0.0397533,0.0222454,0.0741664,0.0374912,0.0528263,0.0721902,0.0566836,0.0284923,0.062511,0.0662463,0.0387366,0.0396511,0.0222738,0.0470454,0.0148808,0.0115669,0.0383518,0,0.0272702,0.0487947,0.0328819,0,0,0.0221494,0,0,0.0251065,0.0793096,0.0128389,0.00862684,0.0292724,0.0519477,0.029617,0.0278702,0.0546884,0.0397751,0.0274461,0,0.00823681,0.0360904,0.00641093,0.0189317,0.0570967,0.0529619,0,0,0,0,0,0,0.0353261
110,0,0,0,0,0.0407069,0.0663849,0,0,0,0.0463053,0,0.0202762,0.0509367,0,0,0.0169684,0,0,0.0415338,0.0547911,0.0439399,0.0397901,0.0224658,0.0745284,0.0373114,0.0529269,0.071381,0.0560907,0.0286144,0.0623183,0.066031,0.0389999,0.0395931,0.0211314,0.0471623,0.0151521,0.0116705,0.0368178,0,0.027857,0.049418,0.032901,0,0,0.0219594,0,0,0.0251035,0.0798731,0.0136269,0.00844551,0.0277999,0.0513552,0.0292111,0.0282538,0.0541472,0.039682,0.0275028,0,0.00698858,0.0363937,0.00670971,0.0185607,0.0570458,0.0530041,0,0,0,0,0,0,0.0349384
111,0,0,0,0,0.0405578,0.066446,0,0,0,0.0457632,0,0.0205167,0.050292,0,0,0.0173079,0,0,0.0413177,0.0551263,0.0419587,0.0397069,0.0233779,0.0749685,0.0370765,0.0534584,0.070579,0.0548685,0.0289316,0.0614921,0.0651275,0.0387997,0.0389575,0.0186519,0.0473314,0.0156714,0.0119146,0.0359645,0,0.0277763,0.0499567,0.0330158,0,0,0.0217029,0,0,0.0249792,0.0797685,0.0140729,0.00845395,0.0284953,0.0510467,0.0287001,0.0284045,0.0542973,0.0404893,0.0272229,0,0.00815417,0.0368759,0.0067869,0.0180822,0.0569649,0.0530361,0,0,0,0,0,0.0151318,0.0347357
112,0,0,0,0,0.0405865,0.0663128,0,0,0,0.0444131,0,0.0215679,0.0475766,0,0,0.0172569,0,0,0.0411613,0.0552453,0.0391868,0.0410561,0.0255345,0.0765629,0.0377149,0.0555291,0.0703582,0.0530086,0.02914,0.0603392,0.0638602,0.0385569,0.0381283,0.0157348,0.0472818,0.0159706,0.0126945,0.0350237,0,0.0286338,0.0484504,0.0328728,0,0,0.0214627,0,0,0.0248311,0.0814654,0.0103702,0.00847912,0.0286515,0.0505945,0.028248,0.0274514,0.0515524,0.0373759,0.0296666,0,0.00770624,0.0372494,0.00678724,0.0176767,0.0566403,0.0538956,0,0,0,0.0580361,0,0.017057,0.0365135
