Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,
133,0,0,0,0,0.0300013,0.0598661,0,0,0,0.0348875,0,0.0170911,0.039825,0,0,0.0218676,0,0,0.0437193,0.0558035,0.052536,0.0236862,0.022726,0.0627052,0.0449228,0.0584806,0.0769578,0.0559555,0.0181063,0.0591614,0.0591952,0.030997,0.0459014,0.0683444,0.0343036,0.0141448,0.0208529,0.0062388,0,0.14673,0.0594057,0.0456085,0,0,0.0205548,0,0,0.0240197,0.0630458,0.0214599,0.031516,0.02053,0.0546448,0.0314708,0.0362558,0.0670777,0.0660254,0.0348381,0.0201959,0.0253586,0,0.0293613,0.0333333,0.0376329,0.00763255,0.0193607,0.0566406,0.0449748,0,0,0,0
134,0,0,0,0,0.0299774,0.0597507,0,0,0,0.0347092,0,0.017236,0.0397111,0,0,0.0221012,0,0,0.0438295,0.0555395,0.0519817,0.0249632,0.0226782,0.0638379,0.045094,0.0589594,0.077118,0.0558485,0.0184239,0.0597884,0.0597787,0.0316206,0.0464568,0.0667951,0.034165,0.014304,0.020927,0.00490236,0,0.148511,0.058911,0.0455791,0,0,0.0208101,0,0,0.0241073,0.0640885,0.0198228,0.0302257,0.0210487,0.054249,0.0317794,0.0358117,0.0660524,0.0647029,0.0344647,0.022409,0.0232933,0,0,0.034682,0.0374074,0.00774776,0.0194934,0.0566525,0.0450945,0,0,0,0
135,0,0,0,0,0.0299391,0.0597474,0,0,0,0.0346919,0,0.017487,0.0396226,0,0,0.0221686,0,0,0.0436992,0.0554541,0.0518775,0.0257038,0.0226079,0.0644946,0.0448639,0.0596456,0.0775076,0.0559075,0.0188816,0.0603793,0.0603207,0.03238,0.0468632,0.0657615,0.0341197,0.0142903,0.0208148,0.00555854,0,0.150035,0.059499,0.045691,0,0,0.0209823,0,0,0.0241768,0.0641673,0.020521,0.0299896,0.0202994,0.0539244,0.0321536,0.0356231,0.0660791,0.0648792,0.0345238,0.0225024,0.0232473,0,0,0.0345021,0.0373193,0.00775818,0.019556,0.0568114,0.0448316,0,0,0,0
136,0,0,0,0,0.0298319,0.0597827,0,0,0,0.0346896,0,0.0176984,0.0393474,0,0,0.023228,0,0,0.0430755,0.0552908,0.0522686,0.0264168,0.0227628,0.0653335,0.0453596,0.0601488,0.0779905,0.0557876,0.0190407,0.0610295,0.0609199,0.0332427,0.047196,0.065679,0.0337159,0.0168067,0.0190799,0.00500396,0,0.152669,0.0591859,0.0456681,0,0,0.0214594,0,0,0.0240783,0.0653112,0.01955,0.0292749,0.0208698,0.0534339,0.0325856,0.0351869,0.0649352,0.0640647,0.0341101,0,0.0217039,0,0,0.0365083,0.0371389,0.00779655,0.0193277,0.0568301,0.0448749,0,0,0,0
137,0,0,0,0,0.0295564,0.0595204,0,0,0,0.035154,0,0.0178166,0.0366146,0,0,0.0246055,0,0,0.0438994,0.0544149,0.05343,0.0302774,0.0237096,0.0684566,0.0483064,0.0608606,0.0783748,0.0547899,0.0181335,0.0622044,0.0619804,0.0342344,0.0479579,0.0677061,0.0329415,0.0155295,0.0210097,0.00388093,0,0,0.0541229,0.0446984,0,0,0.0221675,0,0,0.0244785,0.0725619,0.00857545,0.022853,0.0283213,0.051632,0.0332693,0.0314309,0.0577039,0.0548424,0.0282752,0,0.0223082,0,0,0.0359439,0.036137,0.00788812,0.0201658,0.0562732,0.0474452,0,0,0,0
138,0,0,0,0,0.0295121,0.0595538,0,0,0,0.0354762,0,0.0177954,0.0360859,0,0,0.0244269,0,0,0.0439343,0.0544555,0.0537889,0.030813,0.0237306,0.0689447,0.0480329,0.0614419,0.0790233,0.054817,0.0181686,0.0627127,0.0625299,0.0346557,0.0480686,0.0690541,0.0329093,0.0152638,0.0209311,0.00378429,0,0,0.0545676,0.0447724,0,0,0.0221503,0,0,0.0244254,0.0727738,0.00853577,0.0229904,0.0285154,0.0512547,0.0333062,0.0313585,0.0576533,0.0550421,0.0280768,0,0.0223956,0,0,0.0351652,0.0362447,0.00787135,0.0200638,0.0562377,0.047363,0,0,0,0
139,0,0,0,0,0.0294964,0.0596011,0,0,0,0.0359641,0,0.0177053,0.0356493,0,0,0.0241144,0,0,0.0440174,0.054497,0.0537669,0.0313527,0.0237925,0.0691714,0.0476779,0.062,0.0795178,0.0547947,0.0182514,0.0632973,0.0631588,0.0352567,0.0482792,0.0704804,0.0329975,0.0150091,0.0209667,0.00387936,0,0,0.0551551,0.0448589,0,0,0.0221291,0,0,0.0245199,0.0728384,0.00864515,0.0232353,0.0284717,0.0508156,0.0333437,0.0310939,0.057534,0.0553264,0.0279372,0,0.0223427,0,0,0.0344918,0.0363761,0.00802665,0.0200029,0.0562384,0.047261,0,0,0,0
140,0,0,0,0,0.029602,0.0597804,0,0,0,0.0360752,0,0.0175832,0.0367609,0,0,0.0231062,0,0,0.0438398,0.054711,0.0529302,0.0307838,0.0234889,0.0681166,0.0459967,0.0622534,0.0800893,0.0551476,0.0188776,0.0637248,0.0637034,0.0358001,0.048344,0.0710681,0.0335013,0.0148992,0.0203746,0.00387375,0,0,0.0574884,0.0452646,0,0,0.021697,0,0,0.0244521,0.0701296,0.0127562,0.0251954,0.0261947,0.0508768,0.0331048,0.0314147,0.0600477,0,0.0304063,0,0.0212644,0,0,0.0329877,0.0369277,0.0080625,0.0196031,0.0564175,0.0460892,0,0,0,0
141,0,0,0,0,0.0296624,0.0598237,0,0,0,0.036268,0,0.0174096,0.0365206,0,0,0.0228256,0,0,0.0437942,0.0547518,0.0521369,0.0312229,0.0233533,0.0679815,0.0456919,0.0626426,0.0805932,0.0551253,0.019493,0.0643659,0.0644743,0.0363569,0.0486237,0.0716875,0.0336153,0.0147484,0.0202767,0.00442062,0,0,0.0580176,0.0452407,0,0,0.0215144,0,0,0.0244297,0.0702121,0.0129768,0.0254186,0.0261111,0.050477,0.0330094,0.0311924,0.0599609,0,0.0303483,0,0.021176,0,0,0.0322274,0.0370632,0.00797842,0.0194284,0.0563472,0.0460087,0,0,0,0
142,0,0,0,0,0.029731,0.0598471,0,0,0,0.0360401,0,0.0172672,0.0364622,0,0,0.0225551,0,0,0.0437579,0.0547298,0.0510499,0.03169,0.0230103,0.0676938,0.0454282,0.062946,0.0810341,0.0551077,0.020189,0.0649379,0.0652744,0.0370947,0.048778,0.0713296,0.0337341,0.0145707,0.020238,0.00500483,0,0,0.0585879,0.0451878,0,0,0.0213493,0,0,0.0242372,0.0703986,0.0131936,0.0256209,0.0260488,0.0501222,0.0327982,0.030967,0.0597295,0,0.0302388,0,0.0209869,0,0,0.0314673,0.0372542,0.00783284,0.0191691,0.0562749,0.0459887,0,0,0,0
