Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
144,0,0,0,0,0,0.0336983,0.0578179,0,0,0,0.0324482,0,0.0174541,0.0419355,0,0,0.0201237,0,0,0.0427178,0.056912,0.0495582,0.034453,0.0232212,0.0638657,0.0398946,0.0618033,0.0826691,0.0549139,0.0247244,0.0629235,0.0634038,0.0353609,0.0465736,0.0636941,0.0351869,0.0139376,0.0185207,0.0255923,0,0.0238552,0.0632294,0.0404786,0,0,0.0217031,0,0,0.0253474,0.0691669,0.018748,0.0198834,0.0388622,0.0474185,0.0307915,0.0251027,0.0524577,0.0978236,0.0217618,0,0.00892701,0.0313407,0.0115933,0.0356075,0.00730335,0.0196806,0.0509631,0.0512922,0,0,0
145,0,0,0,0,0,0.0337955,0.0579209,0,0,0,0.0311424,0,0.0174307,0.0423929,0,0,0.0200264,0,0,0.0426647,0.0569663,0.047633,0.0348424,0.0224775,0.0635746,0.0396644,0.0623222,0.0831969,0.0548306,0.0255285,0.0629302,0.0637327,0.0357134,0.0459811,0.0593621,0.0352773,0.0139918,0.0183568,0.0199007,0,0.0226279,0.0635796,0.0404405,0,0,0.0216183,0,0,0.0250275,0.0705588,0.0189952,0.020416,0.0392628,0.0472921,0.0303442,0.0245611,0.0500839,0.0973369,0.0236415,0.0271707,0.00644656,0.0332012,0.0172673,0.0358063,0.00724946,0.0193205,0.0511134,0.0510725,0,0,0
146,0,0,0,0,0,0.0339186,0.0579587,0,0,0,0.0299701,0,0.0174606,0.0429649,0,0,0.0199528,0,0,0.0426245,0.0571022,0.0453875,0.0352205,0.0216573,0.063322,0.0395916,0.0625387,0.0834535,0.0546221,0.0261894,0.0629947,0.0641511,0.0361706,0.045381,0.0538872,0.0353529,0.0139705,0.0182717,0.0203227,0,0.0228292,0.0636829,0.0403659,0,0,0.0214816,0,0,0.0245889,0.0709279,0.0188702,0.020618,0.0392223,0.0472647,0.0299107,0.0244312,0.0497127,0.097023,0.0236979,0.0272346,0.00635686,0.0332858,0.0166139,0.0360203,0.00714728,0.0189881,0.0511834,0.0510179,0,0,0
147,0,0,0,0,0,0.0340495,0.0579865,0,0,0,0.0292631,0,0.0176479,0.043749,0,0,0.0198657,0,0,0.0425673,0.0572085,0.0430679,0.0354741,0.0206237,0.0630261,0.0394492,0.0625246,0.0834153,0.0543536,0.0269217,0.0629441,0.0644186,0.0366135,0.0446621,0.0473824,0.0354688,0.0139524,0.0181894,0.0211207,0,0.0228864,0.0635519,0.0402784,0,0,0.0212998,0,0,0.0242735,0.0713618,0.0186856,0.0207123,0.0391944,0.0471445,0.0294492,0.0242836,0.049277,0.0964687,0.0238159,0.0273033,0.00646262,0.0334041,0.0157449,0.0362803,0.0070879,0.0186326,0.0512379,0.0510024,0,0,0
148,0,0,0,0,0,0.0341505,0.058027,0,0,0,0.0294466,0,0.0180157,0.0446302,0,0,0.0197989,0,0,0.0424871,0.0572882,0.0409971,0.0355258,0.0194699,0.0625899,0.0391344,0.0622992,0.0831207,0.0539421,0.0279058,0.0627409,0.0645284,0.0368923,0.0438357,0.0400766,0.0355685,0.0139547,0.0180741,0.022085,0,0.0230551,0.0632192,0.0402406,0,0,0.0211257,0,0,0.0240878,0.0718957,0.0184548,0.0208093,0.0393509,0.0471742,0.0289592,0.0241071,0.0487108,0.0960584,0.0240288,0.0272706,0.00710277,0.0335525,0.0147888,0.0365173,0.00704698,0.018254,0.0512768,0.0509144,0,0,0
149,0,0,0,0,0,0.0342497,0.0580749,0,0,0,0.0310211,0,0.0186849,0.0457362,0,0,0.019764,0,0,0.0423811,0.0573073,0.0392183,0.0355669,0.0184566,0.0621693,0.038859,0.0619074,0.0823095,0.0534197,0.029169,0.0624768,0.0646498,0.0370881,0.0430497,0.0323821,0.0356415,0.0139589,0.0179585,0.0298274,0,0.0247011,0.062411,0.0403113,0,0,0.0209286,0,0,0.0239387,0.0714874,0.0177432,0.0205018,0.03943,0.0472429,0.0285234,0.0241027,0.0498164,0.0962216,0.0225112,0,0.0101783,0.032052,0.00895714,0.0367084,0.00704072,0.0179477,0.0512263,0.0510467,0,0,0
150,0,0,0,0,0,0.0343721,0.0582076,0,0,0,0.0334295,0,0.0200418,0.0472771,0,0,0.019699,0,0,0.0422524,0.0570394,0.038396,0.0356877,0.0179636,0.0616951,0.0385077,0.0615504,0.0807173,0.0529815,0.0309046,0.0620885,0.0645842,0.0374338,0.0422029,0.025779,0.0357864,0.0139936,0.0177408,0.0333467,0,0.0249338,0.061317,0.0405293,0,0,0.0207136,0,0,0.0238255,0.0721972,0.0170068,0.0202954,0.0392206,0.0472286,0.0280487,0.0240423,0.0498147,0.0959765,0.0222308,0,0,0.0315901,0.00849942,0.0369755,0.00709305,0.0175996,0.0511964,0.0510205,0,0,0
151,0,0,0,0,0,0.0344764,0.0584352,0,0,0,0.0364146,0,0.0217409,0.0488914,0,0,0.0196311,0,0,0.0420994,0.056722,0.0386481,0.035612,0.0190041,0.0610802,0.0380403,0.0610638,0.0783434,0.0526131,0.0327038,0.0616013,0.0642935,0.0378595,0.0412588,0.0209562,0.0359549,0.0140566,0.0174376,0.0331688,0,0.0246786,0.060311,0.040752,0,0,0.0205995,0,0,0.0238049,0.0731169,0.0169292,0.0205321,0.0405383,0.0471174,0.0275694,0.0239519,0.0483483,0.0952865,0.0233068,0,0.00967164,0.0326488,0.00886949,0.0372394,0.00718945,0.0172151,0.0512786,0.0508329,0,0,0
152,0,0,0,0,0,0.0346193,0.0587277,0,0,0,0.0378967,0,0.0236832,0.0505844,0,0,0.0195426,0,0,0.0419916,0.0562518,0.0399394,0.035558,0.0218682,0.0604936,0.037522,0.060247,0.0753533,0.0523045,0.0339315,0.0607214,0.0636445,0.0381045,0.0399326,0.0186592,0.0361245,0.0141077,0.0171996,0.0347564,0,0.0250973,0.059221,0.0408097,0,0,0.0205645,0,0,0.0236697,0.073983,0.016524,0.0206569,0.0410341,0.0469685,0.027132,0.0239571,0.0474662,0.0947257,0.023694,0,0.00944725,0.0329061,0.00944857,0.0375019,0.00728179,0.0168265,0.0513856,0.0506301,0,0,0
153,0,0,0,0,0,0.034704,0.0590638,0,0,0,0.0371526,0,0.0254968,0.0518877,0,0,0.0194437,0,0,0.0419398,0.0559094,0.0417264,0.0353149,0.0257383,0.0599516,0.0370039,0.0591036,0.072016,0.0520147,0.0339762,0.0593669,0.0625721,0.037875,0.0381023,0.0186961,0.0362723,0.0141345,0.0170418,0.0362676,0,0.0256765,0.0583344,0.0409023,0,0,0.0204905,0,0,0.0235261,0.0747847,0.0161806,0.0208165,0.0415986,0.0468179,0.0267951,0.0239013,0.0467247,0.094207,0.0240322,0,0.00939793,0.0331165,0.0104337,0.0377212,0.00734749,0.0165438,0.0514772,0.0504495,0,0,0
