Timestep,,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70
168,0,0,0,0,0,0.0352451,0.0610324,0,0,0,0.0348511,0,0.0243168,0.0526697,0,0,0.018493,0,0,0.0420824,0.0528599,0.0282888,0.0370443,0.0230689,0.0595594,0.0385072,0.0515085,0.06874,0.0516354,0.0251298,0.0572702,0.0610586,0.0343001,0.0351041,0.00790067,0.037314,0.0141932,0.0176205,0.0438119,0,0.02055,0.0590286,0.0387614,0,0,0.0189547,0,0,0.0227062,0.0741967,0.0315897,0.0219715,0.0345627,0.0430504,0.0229371,0.0242424,0.0527363,0.0974612,0,0.0707083,0.0160108,0.0207206,0.0188676,0.0408572,0.00817987,0.013249,0.0522997,0.0513331,0,0,0
169,0,0,0,0,0,0.0352104,0.0609039,0,0,0,0.0366346,0,0.0231298,0.0518306,0,0,0.0184572,0,0,0.0421457,0.0530243,0.0270777,0.0366086,0.0217092,0.0604569,0.0389557,0.0509442,0.0692431,0.0515017,0.0244114,0.0578097,0.0615468,0.0340568,0.0362461,0.00849832,0.037111,0.0140289,0.0180363,0.0441946,0,0.0199666,0.0588233,0.0386339,0,0,0.0191176,0,0,0.0227926,0.0735028,0.0337611,0.0217077,0.0341681,0.0431478,0.0231854,0.0242851,0.0537167,0.0979615,0,0.0705783,0.0164583,0.0196281,0.0204705,0.0407009,0.00812435,0.0134359,0.0522337,0.0519061,0,0,0
170,0,0,0,0,0,0.0351466,0.0607287,0,0,0,0.0384023,0,0.0220956,0.0508623,0,0,0.0184588,0,0,0.0422293,0.0532699,0.0263731,0.0363027,0.0207491,0.0610748,0.0396342,0.0505214,0.0691697,0.0507578,0.0235012,0.0579804,0.0615793,0.0334867,0.0370791,0.00984513,0.0368456,0.0138726,0.0184918,0.0448961,0,0.019254,0.0584738,0.038535,0,0,0.0191304,0,0,0.0228468,0.0726119,0.0363958,0.0213087,0.0339614,0.0436594,0.0235401,0.0248295,0.0549673,0.0987949,0,0.0705779,0.0167316,0.0186135,0.0227172,0.0404845,0.00803988,0.0137367,0.0520975,0.0524813,0,0,0
171,0,0,0,0,0,0.0351053,0.0604489,0,0,0,0.0394415,0,0.0214681,0.05001,0,0,0.0185292,0,0,0.0423492,0.0535167,0.0259962,0.0363337,0.0206418,0.0614466,0.0404589,0.0502257,0.0688435,0.0498989,0.022897,0.0576204,0.0610648,0.0326449,0.0371887,0.0108074,0.0365556,0.0137196,0.018999,0.0461126,0,0.018267,0.0578464,0.0384219,0,0,0.0190645,0,0,0.0228356,0.0716919,0.0392895,0.0207568,0.0335418,0.0445142,0.0239611,0.0257964,0.0563525,0.099895,0,0.0704012,0.0170462,0.0175363,0.0251673,0.0402223,0.00789678,0.0141288,0.0518535,0.0529783,0,0,0
172,0,0,0,0,0,0.0351079,0.0600544,0,0,0,0.03948,0,0.0212032,0.0491161,0,0,0.0187068,0,0,0.0425178,0.0537711,0.025569,0.0366658,0.020912,0.0617947,0.0412708,0.0499901,0.0685839,0.0492964,0.0225991,0.056921,0.0603471,0.0317913,0.0367332,0.011013,0.0362156,0.0135912,0.019543,0.0471527,0,0.0170748,0.0570356,0.0382761,0,0,0.0193143,0,0,0.0228193,0.0708166,0.0420344,0.0198247,0.0326973,0.0456137,0.0245042,0.027222,0.0576063,0.101113,0,0.0700885,0.0173264,0.0165848,0.0272689,0.039851,0.00767057,0.0146278,0.0515677,0.053299,0,0,0
173,0,0,0,0,0,0.0352413,0.0595573,0,0,0,0.0383534,0,0.0213327,0.0483063,0,0,0.0190562,0,0,0.0426852,0.0539265,0.0250715,0.0372926,0.0208883,0.0622696,0.0422191,0.0498065,0.0683221,0.0490949,0.0221813,0.0562202,0.0597551,0.0311777,0.036014,0.0105927,0.0357912,0.013569,0.0200152,0.047083,0,0.016096,0.0562239,0.0381316,0,0,0.0195723,0,0,0.0226577,0.0701535,0.0441663,0.0187071,0.0314155,0.0468245,0.0252459,0.0289642,0.0591079,0.102531,0,0.0697145,0.0174472,0.0158816,0.0284395,0.0393185,0.00740947,0.0152024,0.051319,0.0534692,0,0,0
174,0,0,0,0,0,0.0352962,0.0590008,0,0,0,0.0368901,0,0.0215228,0.0476717,0,0,0.0194778,0,0,0.0428837,0.0539264,0.0243467,0.0380391,0.0206063,0.0629548,0.0432609,0.0496133,0.0681697,0.0492214,0.0215548,0.055726,0.0594379,0.0307905,0.0353241,0.0102068,0.0353465,0.0135677,0.0205409,0.0457482,0,0.0162176,0.0555417,0.0380454,0,0,0.0198095,0,0,0.0224757,0.0697212,0.0454271,0.018046,0.0303515,0.0481176,0.0260375,0.0311791,0.061376,0.10424,0,0.069325,0.0173334,0.0154836,0.0289332,0.0387064,0.0071268,0.0158443,0.0511048,0.0534746,0,0,0
175,0,0,0,0,0,0.0389442,0.0553149,0,0,0,0.0363618,0,0.0218197,0.0466558,0,0,0.0196019,0,0,0.043132,0.0542432,0.0231115,0.0393759,0.0209916,0.0645178,0.0460511,0.0488324,0.0676162,0.0491246,0.0210955,0.0559307,0.059861,0.0310072,0.0349917,0.0102322,0.0356918,0.0136779,0.0211643,0.0438686,0,0.0167353,0.054299,0.0370007,0,0,0.0207976,0,0,0.0232301,0.0706796,0.0450319,0.0156774,0.0306675,0.0490189,0.0306708,0.0318348,0.0629348,0.105483,0,0.0695467,0.0167648,0.0157108,0.0291006,0.0376339,0.00721816,0.0170141,0.0484332,0,0,0,0
176,0,0,0,0,0,0.0354464,0.0587545,0,0,0,0.0354373,0,0.021953,0.0526104,0,0,0.019729,0,0,0.0427362,0.0528567,0.0226126,0.0371017,0.019856,0.0613038,0.0421691,0.0484822,0.0679624,0.0507862,0.0214427,0.0544898,0.0584065,0.0298778,0.033666,0.00980804,0.0351341,0.0137481,0.0201757,0.0401746,0,0.0179543,0.0592949,0.0385057,0,0,0.0201994,0,0,0.0222564,0.0643234,0.0423544,0.0178336,0.0187801,0.0517794,0.0269039,0.0426264,0.0686183,0,0,0.0649525,0.020383,0.0131535,0.0301278,0.0383403,0.00684134,0.0165604,0.0518797,0.05091,0,0,0
177,0,0,0,0,0,0.0355818,0.058927,0,0,0,0.0350633,0,0.0219628,0.054501,0,0,0.0196185,0,0,0.0425618,0.0525695,0.0223538,0.0361253,0.0196845,0.0602061,0.0411333,0.0483391,0.0679951,0.0511018,0.0218176,0.0541098,0.0579945,0.0295391,0.0332659,0.00980609,0.0353036,0.0137548,0.019825,0.033238,0,0.0184233,0.0620815,0.0387623,0,0,0.020401,0,0,0.0220721,0.0587496,0.0354156,0.0212322,0.0162332,0.0532967,0.0270717,0.0507415,0,0,0,0.0645228,0.0229848,0.0162143,0.0306247,0.0382842,0.00679579,0.0165465,0.052578,0.049451,0,0,0
178,0,0,0,0,0,0.0355274,0.0583019,0,0,0,0.0337149,0,0.0220197,0.0520639,0,0,0.0202196,0,0,0.0430116,0.0522609,0.0224246,0.0388239,0.0203705,0.063097,0.0440197,0.048294,0.067847,0.0499666,0.020607,0.0547093,0.058689,0.0301182,0.0336374,0.0100482,0.034768,0.0135644,0.0210976,0.0283656,0,0.0201288,0.0566441,0.0381045,0,0,0.0212512,0,0,0.022326,0.0635411,0.0338388,0.0180777,0.0171537,0.0536471,0.0277233,0.0459101,0.0714618,0,0,0.068705,0.0190887,0.0174451,0.0364289,0.0373709,0.00661295,0.0170696,0.0518328,0.051466,0,0,0
179,0,0,0,0,0,0.0354489,0.0580314,0,0,0,0.0334569,0,0.0221942,0.0512326,0,0,0.0206368,0,0,0.0432363,0.0525258,0.0225048,0.0395449,0.0206913,0.064236,0.0455852,0.047983,0.0674841,0.0492148,0.0202457,0.0548802,0.0589333,0.0301778,0.0338402,0.0102065,0.0345808,0.0135144,0.021716,0.0201768,0,0.0249373,0.0551472,0.0378322,0,0,0.021713,0,0,0.0224498,0.0653961,0.0288862,0.0171552,0.0148629,0.0540778,0.0281506,0.0463075,0.0718501,0,0,0,0.0170354,0.025212,0.0435195,0.0367373,0.0064857,0.017405,0.0512482,0.052458,0,0,0
180,0,0,0,0,0,0.0354052,0.0587134,0,0,0,0.0340061,0,0.0223581,0.0553437,0,0,0.0202596,0,0,0.0426878,0.0524118,0.0225915,0.0368288,0.0199963,0.0613415,0.0431014,0.0473092,0.0672815,0.049817,0.0208914,0.0538419,0.057795,0.0291459,0.0332586,0.0099163,0.0348367,0.0136565,0.0205152,0.0202429,0,0.0254831,0.0589763,0.0384726,0,0,0.0214822,0,0,0.0223561,0.0608812,0.0319487,0.0201937,0.0138729,0.0556326,0.0279164,0.0512237,0,0,0,0,0.0199514,0.0235453,0.0456827,0.0370775,0.00662961,0.0170378,0.051306,0.0504192,0,0,0
181,0,0,0,0,0,0.0352377,0.0590189,0,0,0,0.0342856,0,0.0226796,0.0560321,0,0,0.0201651,0,0,0.0426725,0.0524474,0.0228126,0.0363392,0.0199105,0.0605455,0.0428578,0.0468824,0.0669412,0.04971,0.0209713,0.0535418,0.0574651,0.0288428,0.0330792,0.00983586,0.0347834,0.0136283,0.0204439,0.0193065,0,0.0260999,0.0587023,0.0386546,0,0,0.0217646,0,0,0.02253,0.0609178,0.0330155,0.0207299,0.014808,0.0556569,0.0281122,0.0512077,0,0,0,0,0.020007,0.0233893,0.0474216,0.0368561,0.00669434,0.0171386,0.050557,0.0504631,0,0,0
182,0,0,0,0,0,0.0350011,0.0593275,0,0,0,0.0347056,0,0.0229369,0.0565913,0,0,0.020008,0,0,0.0426458,0.0524949,0.0229141,0.0359043,0.0198254,0.0596609,0.0423633,0.0465092,0.0665217,0.0497304,0.0211849,0.0532313,0.0571854,0.0285815,0.0329188,0.0098631,0.03477,0.0135878,0.0202849,0.0184391,0,0.0265372,0.0581263,0.0388656,0,0,0.0220698,0,0,0.02273,0.0611599,0.0331248,0.0212708,0.015833,0.0552111,0.0283122,0.0513042,0,0,0,0,0.0197068,0.0234252,0.0484581,0.0367067,0.00672332,0.0172608,0.0501765,0.0506342,0,0,0
183,0,0,0,0,0,0.0348196,0.0595322,0,0,0,0.0352749,0,0.0232111,0.057137,0,0,0.0197393,0,0,0.0426126,0.0525809,0.02282,0.0355977,0.0197729,0.0587723,0.0417655,0.0461132,0.0660372,0.0498602,0.0214083,0.0530029,0.0569811,0.028552,0.0326982,0.0101178,0.0347687,0.0135636,0.0200511,0.017741,0,0.0270215,0.0573523,0.0391449,0,0,0.0222058,0,0,0.0228482,0.0615356,0.0328207,0.0217202,0.0167487,0.05459,0.0284817,0.0515487,0,0,0,0,0.019135,0.023496,0.0493251,0.0366404,0.00676119,0.0173588,0.050186,0.0506623,0,0,0
184,0,0,0,0,0,0.0346336,0.0596321,0,0,0,0.0358847,0,0.0234098,0.0577441,0,0,0.0193964,0,0,0.0426272,0.0526555,0.0224506,0.0354276,0.019832,0.0580539,0.041132,0.0456199,0.0655436,0.0499948,0.021447,0.052883,0.0568865,0.0286138,0.0324914,0.010451,0.0347544,0.0135728,0.0198059,0.0173392,0,0.0274405,0.0563665,0.0394702,0,0,0.0223085,0,0,0.0230125,0.0618985,0.0327487,0.0218747,0.0178537,0.0539787,0.0285739,0.0518216,0,0,0,0,0.0188255,0.0237157,0.0504667,0.0366366,0.00686099,0.017486,0.0502673,0.0504597,0,0,0
185,0,0,0,0,0,0.034481,0.0589857,0,0,0,0.0361025,0,0.0236693,0.0558441,0,0,0.0195648,0,0,0.0431223,0.0528562,0.0216771,0.0379342,0.0206969,0.0603256,0.0433475,0.0448905,0.0647161,0.0492703,0.0205486,0.0535613,0.0577412,0.0294552,0.0326464,0.0106459,0.0341971,0.0134746,0.0206979,0.0150953,0,0,0.0511759,0.0391855,0,0,0.0226448,0,0,0.0233917,0.067464,0.0361477,0.0167985,0.0203084,0.0524253,0.0290449,0.0473273,0.070532,0,0,0,0.0165016,0.0277399,0.0489649,0.0360237,0.00685197,0.0180021,0.0492471,0.0525484,0,0,0
186,0,0,0,0,0,0.0344134,0.0594037,0,0,0,0.0365591,0,0.0237647,0.059239,0,0,0.0188598,0,0,0.0429033,0.0528578,0.0216574,0.0350277,0.0203957,0.05731,0.0400377,0.044647,0.0645121,0.0502098,0.0208933,0.0528118,0.0569604,0.0289426,0.0320422,0.0106883,0.0346606,0.0137,0.0194335,0.0171486,0,0.0283391,0.0545738,0.0398593,0,0,0.0221522,0,0,0.0232639,0.0617202,0.0337639,0.0219565,0.0194513,0.0532082,0.0285389,0.0524039,0,0,0,0,0.0193559,0.023773,0.0537517,0.0367157,0.00689035,0.0176536,0.0502956,0.049867,0,0,0
187,0,0,0,0,0,0.0346675,0.0587244,0,0,0,0.0363063,0,0.0240231,0.0576801,0,0,0.0191694,0,0,0.0435843,0.0528523,0.0210296,0.0373738,0.0212917,0.0594945,0.0423416,0.0439441,0.0637038,0.0496896,0.0194618,0.0533869,0.0577604,0.0297354,0.0322364,0.0105106,0.0339151,0.0135889,0.0206365,0.0167678,0,0.0293338,0.0497441,0.0391538,0,0,0.0224956,0,0,0.0233189,0.0668127,0.035142,0.0168563,0.0213228,0.0518249,0.0289195,0.0478462,0.0709288,0,0,0,0.0164077,0.0249999,0.0574962,0.0360877,0.00683964,0.0180295,0.0494249,0.0521382,0,0,0
