Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,
All Timesteps RMSE,0,0,0,0,0.0281657,0.059251,0,0,0,0.0396269,0,0.0210103,0.0507291,0,0,0.0206582,0,0,0.0441103,0.0564567,0.0349374,0.0330712,0.0239914,0.0615394,0.043243,0.0492912,0.0668218,0.0507883,0.0193411,0.0577167,0.060644,0.0334145,0.0375374,0.0346227,0.0350083,0.0143943,0.0198176,0.0182194,0,0.028938,0.0505473,0.0464548,0,0,0.0210982,0,0,0.0243219,0.0742136,0.0167632,0.0206973,0.0292333,0.0519989,0.032692,0.0378827,0.0625877,0.0589496,0.0315113,0.0325827,0.0268222,0.0929718,0.0453464,0.0374944,0.0372074,0.00731127,0.0193701,0.0550201,0.0482859,0,0,0,0
0,0,0,0,0,0.0273684,0.0616231,0,0,0,0.0305686,0,0.025247,0.0628042,0,0,0.0196937,0,0,0.0458893,0.0564734,0.0203322,0.0329411,0.0284168,0.0576197,0.0407046,0.0384603,0.0568113,0.0490243,0.0166006,0.0517377,0.0561905,0.0299654,0.0279081,0.00742177,0.0350546,0.014487,0.0219462,0.019726,0,0.0277926,0.0449828,0.0475428,0,0,0.022469,0,0,0.0241958,0.074446,0.027361,0.0117433,0.0280751,0.0581894,0.0335778,0.0455672,0.073438,0.0614744,0.0314503,0.027076,0.019015,0.00546799,0.035061,0.0589433,0.0356792,0.00703569,0.0204224,0.0554043,0.0484645,0,0,0,0
1,0,0,0,0,0.0272136,0.0621853,0,0,0,0.0317003,0,0.0263955,0.0626799,0,0,0.0196726,0,0,0.0457561,0.0565218,0.0211939,0.0329631,0.0281064,0.0573012,0.0406372,0.0384285,0.0565062,0.0488076,0.0159537,0.0513676,0.0563887,0.0297566,0.0276397,0.00658238,0.034896,0.0144741,0.0217937,0.0190098,0,0.0258794,0.044903,0.0474307,0,0,0.0223437,0,0,0.0241577,0.0745324,0.0247804,0.0116025,0.0281357,0.0580017,0.0332235,0.0455901,0.0730046,0.0616728,0.0326535,0.0277945,0.0186931,0.00540296,0.0360115,0.0536295,0.0358243,0.00704241,0.0201693,0.0556814,0.0482341,0,0,0,0
2,0,0,0,0,0.0272191,0.0623961,0,0,0,0.0303833,0,0.0271226,0.0616762,0,0,0.0196818,0,0,0.0456102,0.0568232,0.0157645,0.0322387,0.026706,0.0570629,0.0408736,0.0375617,0.0562438,0.0483396,0.0172903,0.0540558,0.0577935,0.0321942,0,0.00480561,0.0347536,0.0143682,0.0217686,0.0172628,0,0.0276738,0.0452871,0.0474056,0,0,0.022227,0,0,0.024167,0.0742415,0.0237628,0.0116631,0.0280083,0.0577362,0.032976,0.0451323,0.0723974,0.0619182,0.0330334,0.0276696,0.0203509,0.00670593,0.0360011,0.0465138,0.0359175,0.00700703,0.0199744,0.0557921,0.0483227,0,0,0,0
3,0,0,0,0,0.0273187,0.0625669,0,0,0,0.0331816,0,0.0254772,0.0622276,0,0,0.0196633,0,0,0.0455242,0.0571195,0.0219831,0.0331293,0.0283745,0.0569858,0.040847,0.0379914,0.0561759,0.0483581,0.0158932,0.0517009,0.0569424,0.0300197,0.0273262,0.00713716,0.0348792,0.0143958,0.0214894,0.018407,0,0.0326346,0.0456936,0.0474323,0,0,0.0219229,0,0,0.024079,0.074574,0.0279226,0.0124431,0.0276735,0.0576284,0.0325082,0.0440174,0.0707848,0.0621114,0.0330261,0.026647,0.0242125,0.0103921,0.0344289,0.0384001,0.0362179,0.00694438,0.0196363,0.0558966,0.0483454,0,0,0,0
4,0,0,0,0,0.0273975,0.0627382,0,0,0,0.0342559,0,0.0247549,0.0617669,0,0,0.0198472,0,0,0.0451322,0.0574259,0.0226542,0.0328802,0.0285286,0.0559052,0.0407612,0.0376008,0.055853,0.0481108,0.0158533,0.0517351,0.0572887,0.0301239,0.0269563,0.00773187,0.0347914,0.014456,0.0210305,0.0199146,0,0.0327781,0.0464401,0.0476021,0,0,0.0218242,0,0,0.0242107,0.0741004,0.0268271,0,0.0270492,0.0577133,0.0326299,0.0442824,0.0709216,0.0630327,0.034124,0.0264548,0.0248947,0.0108567,0.0345135,0.034552,0.0361844,0.00697282,0.0197282,0.0563204,0.0481134,0,0,0,0
5,0,0,0,0,0.0275934,0.0630194,0,0,0,0.0350606,0,0.0249171,0.0614241,0,0,0.021669,0,0,0.0442307,0.0581956,0.0227012,0.0328234,0.0285959,0.0564673,0.0419622,0.0375749,0.0552789,0.0479159,0.0164917,0.0519767,0.0573698,0.0302532,0.0271282,0.00724579,0.0344386,0.0165259,0.0187124,0.0198424,0,0.0283983,0.0467149,0.0472655,0,0,0.0205313,0,0,0.0244829,0.0738976,0.0191044,0.0129766,0.0282474,0.0570114,0.0314931,0.0433104,0.0705233,0.063018,0.0357575,0.0286118,0.0233888,0.010414,0.0377405,0.0325352,0.0370357,0.00697133,0.0195239,0.0563698,0.0484445,0,0,0,0
6,0,0,0,0,0.0276361,0.0630742,0,0,0,0.0315325,0,0.0270113,0.0606053,0,0,0.0211252,0,0,0.0441529,0.0584837,0.0160189,0.0320212,0.0276242,0.0559427,0.0417958,0.0367576,0.0541482,0.0473139,0.0177283,0.0546211,0.0581455,0.0328073,0,0.00426699,0.0345837,0.0156504,0.0190909,0.0201916,0,0.0284884,0.0466639,0.0472918,0,0,0.0205585,0,0,0.0243495,0.0735997,0.0179545,0.0142222,0.0284331,0.0568816,0.0312583,0.0429459,0.0698682,0.0634969,0.0368353,0.0293953,0.0238855,0.0111855,0.0385747,0.0310585,0.0371553,0.00689923,0.0191625,0.0565769,0.0484505,0,0,0,0
7,0,0,0,0,0.0276504,0.0625699,0,0,0,0.0357135,0,0.0245339,0.0612489,0,0,0.0206531,0,0,0.0439749,0.0584719,0.0226692,0.0328638,0.0286308,0.0555591,0.041431,0.0371073,0.0540411,0.0473584,0.0164034,0.0520739,0.057462,0.0304987,0.0272051,0.00716829,0.0346879,0.0150754,0.0192706,0.0238909,0,0.0327578,0.0466944,0.0472865,0,0,0.0204196,0,0,0.0241971,0.0735893,0.0218152,0.014844,0.0276037,0.0567958,0.0308549,0.0423078,0.0688168,0.0638508,0.0364703,0.0282783,0.0281341,0.0133605,0.036679,0.0249014,0.0373669,0.00682192,0.0187909,0.0567585,0.0484512,0,0,0,0
8,0,0,0,0,0.0276855,0.0616602,0,0,0,0.0321535,0,0.0268521,0.0600222,0,0,0.020321,0,0,0.043776,0.0592991,0.0156676,0.0318113,0.0277869,0.0546102,0.0413482,0.0362004,0.0529876,0.0468523,0.0182038,0.054856,0.0581368,0.0330866,0,0.00456017,0.0346635,0.0144999,0.0195671,0.0222754,0,0.0285197,0.0477368,0.0472609,0,0,0.0202773,0,0,0.0240834,0.0727225,0.0162855,0.0154577,0.028522,0.0564731,0.0305564,0.0425844,0.0686115,0.064351,0.038045,0.0303802,0.0255676,0.0125251,0.0397271,0.0262713,0.0374785,0.00672947,0.0185566,0.0570898,0.0482853,0,0,0,0
9,0,0,0,0,0.0276913,0.0620489,0,0,0,0.0320932,0,0.0265466,0.0602553,0,0,0.0199731,0,0,0.0436822,0.0590656,0.0151999,0.0319236,0.0275841,0.0541085,0.0419103,0.0359008,0.0530638,0.0465906,0.0179323,0.0549351,0.0581466,0.0332296,0,0.00498275,0.0346603,0.0142356,0.0196631,0.0255039,0,0.0329739,0.047245,0.0473364,0,0,0.0201332,0,0,0.0240355,0.0728168,0.0216689,0.0160848,0.027527,0.0566218,0.0305002,0.0422159,0.0674278,0.0643939,0.0378249,0.0291102,0.0290246,0.0146452,0.0375026,0.0223999,0.0375945,0.00673076,0.018393,0.0570145,0.0483056,0,0,0,0
10,0,0,0,0,0.0276468,0.0610841,0,0,0,0.0346806,0,0.025257,0.0610243,0,0,0.0197236,0,0,0.0433835,0.0593432,0.0212694,0.0325446,0.0286789,0.0535815,0.0419928,0.0363423,0.0531328,0.0467744,0.0166287,0.0523635,0.0569933,0.0308105,0.0281655,0.00545147,0.0346431,0.0138093,0.019792,0.026249,0,0.0329216,0.0477187,0.0473937,0,0,0.0199509,0,0,0.0239753,0.0728237,0.0224631,0.0165989,0.0275702,0.0565946,0.0302062,0.0422375,0.0667073,0.0645291,0.0389214,0.0294346,0.0292358,0.0148042,0.0377616,0.0216536,0.0377407,0.00671187,0.0182171,0.0571216,0.048115,0,0,0,0
11,0,0,0,0,0.0275838,0.0604074,0,0,0,0.0322068,0,0.0263809,0.0605027,0,0,0.0197208,0,0,0.0431906,0.0596367,0.0150135,0.0316914,0.0275832,0.0529571,0.0414543,0.0355462,0.0524199,0.0464191,0.018054,0.0549966,0.0579826,0.033197,0,0.00560208,0.0344656,0.013546,0.019799,0.0264036,0,0.0329773,0.0478641,0.0474603,0,0,0.0200634,0,0,0.0241092,0.0726142,0.0234348,0.0161217,0.0275341,0.0564242,0.0302568,0.0420554,0.0663586,0.0644994,0.0393166,0.0295322,0.0291318,0.0148404,0.0377508,0.0219073,0.0375016,0.0067831,0.0183543,0.0570209,0.0481442,0,0,0,0
12,0,0,0,0,0.0275961,0.0603076,0,0,0,0.0335846,0,0.0264253,0.0614434,0,0,0.0198632,0,0,0.0430228,0.0598147,0.0196314,0.0321942,0.0287641,0.0526706,0.0404898,0.0360568,0.0526898,0.0466799,0.0166453,0.0526696,0.0565846,0.0309951,0.0293628,0.00429631,0.0342926,0.0138467,0.0192231,0.0263507,0,0.0334585,0.0483344,0.0475921,0,0,0.0202405,0,0,0.0240728,0.0728142,0.0238885,0.0161396,0.0276983,0.056319,0.0301671,0.0417747,0.0657592,0.0641684,0.0396178,0.0294748,0.0289294,0.0149798,0.0376035,0.0221302,0.0373474,0.00675902,0.0183046,0.0566452,0.0480858,0,0,0,0
13,0,0,0,0,0.0275812,0.060455,0,0,0,0.0334429,0,0.0263731,0.0618229,0,0,0.0198891,0,0,0.0428548,0.0597692,0.0191715,0.0319643,0.0285052,0.0525643,0.040673,0.0359078,0.0527782,0.0466742,0.0165723,0.0527346,0.0565962,0.0310714,0.0298551,0.00486097,0.034091,0.013683,0.0191023,0.025284,0,0.0335437,0.0483684,0.047692,0,0,0.0202056,0,0,0.0240577,0.0728641,0.0237323,0.0163304,0.0275905,0.0563561,0.0302222,0.0415007,0.0654207,0.063576,0.0391809,0.029103,0.028605,0.0147446,0.0371486,0.0232283,0.0372679,0.00671915,0.018347,0.0563963,0.0480325,0,0,0,0
14,0,0,0,0,0.0275792,0.0605494,0,0,0,0.0350654,0,0.0252457,0.0622467,0,0,0.0201554,0,0,0.042657,0.0593131,0.0183114,0.0316098,0.0273877,0.0524504,0.0409858,0.0357389,0.0532916,0.0467702,0.0167608,0.0529038,0.0568777,0.0310976,0.0302322,0.00650674,0.033764,0.0143154,0.018298,0.0234712,0,0.0331138,0.0481838,0.0477825,0,0,0.0202936,0,0,0.024011,0.0727192,0.022606,0.0165601,0.0274151,0.056401,0.0304167,0.0412573,0.0656939,0.0630117,0.0383557,0.0284105,0.0281823,0.0140523,0.0364428,0.0245584,0.0371456,0.00671783,0.0183559,0.0563118,0.0479244,0,0,0,0
15,0,0,0,0,0.0275932,0.0605927,0,0,0,0.0356472,0,0.0246045,0.0627497,0,0,0.0201305,0,0,0.0424208,0.0591526,0.0179561,0.0312941,0.0268721,0.052318,0.0407258,0.0356287,0.0534345,0.0468799,0.0166674,0.0528368,0.0567976,0.0309591,0.0302433,0.00699795,0.0335023,0.0139799,0.0183242,0.0205507,0,0.0334828,0.0480126,0.0478725,0,0,0.0204055,0,0,0.0241167,0.0724562,0.0219324,0.0161123,0.0270339,0.0564364,0.0307324,0.0411402,0.0659167,0.0624644,0.0373287,0.0276873,0.0276281,0.0131705,0.0358812,0.0266463,0.036972,0.00686117,0.0184619,0.0562821,0.0478591,0,0,0,0
16,0,0,0,0,0.0275595,0.0606357,0,0,0,0.0365841,0,0.0238201,0.0631252,0,0,0.0201824,0,0,0.0424057,0.058546,0.0172546,0.0312961,0.0261278,0.0523332,0.0403361,0.0354795,0.0537818,0.0469397,0.0164014,0.0528512,0.0569593,0.0309071,0.0303669,0.00789208,0.0331558,0.0138469,0.0184484,0.0165298,0,0,0.0473297,0.0478581,0,0,0.0206847,0,0,0.0242685,0.0726693,0.0262643,0.0152738,0.0260826,0.0564938,0.0311987,0.0406063,0.0651156,0.0612615,0.0353257,0.0269753,0.0278756,0.0136864,0.0358679,0.0303233,0.0366395,0.00698289,0.0186914,0.0560532,0.0480912,0,0,0,0
