Timestep,BCBB,BCBF,BCBTT,BCFT,C7,CLAV,IMU_B,IMU_M,IMU_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,x68,x69,x70,LTHIP,RTHIA
9,0,0,0,0,0.0283685,0.0586121,0,0,0,0.0370671,0,0.0180973,0.0365452,0,0,0.0226223,0,0,0.0444715,0.0564332,0.0576154,0.027941,0.0232329,0.0666361,0.0457126,0.0619531,0.078685,0.0549952,0.0607496,0.0601244,0.0311463,0.0459809,0.0813808,0.0338025,0.0142894,0.0210169,0.0118154,0,0.027583,0.0564134,0.0453777,0,0,0.0215168,0,0,0.024613,0.0660298,0.00769412,0.0281035,0.0286668,0.0518866,0.030761,0.0318145,0.0627373,0.0327921,0.0253589,0.0271784,0.00883773,0.0356624,0.0270615,0.0364993,0.0070041,0.0199232,0.053452,0.0487035,0,0,0,0,0.0642697
10,0,0,0,0,0.0282883,0.0586316,0,0,0,0.0367994,0,0.017938,0.0361026,0,0,0.0225303,0,0,0.0443324,0.0565073,0.0572975,0.0283384,0.0231905,0.0668416,0.0454226,0.0625699,0.0792526,0.0550445,0.0617844,0.061016,0.0320921,0.0465903,0.0811194,0.0338869,0.0143106,0.0208256,0.012458,0,0.0274446,0.0570776,0.0454,0,0,0.0214744,0,0,0.0246356,0.0660082,0.00805282,0.0269703,0.0284329,0.051428,0.0308435,0.0316854,0.0624814,0.0327166,0.0251817,0.0266856,0.0088159,0.0357695,0.0263452,0.0365427,0.00704707,0.0199611,0.053664,0.0484233,0,0,0,0,0.0643103
11,0,0,0,0,0.0281915,0.0589703,0,0,0,0.0366985,0,0.0177679,0.0357459,0,0,0.0224218,0,0,0.0442218,0.0565861,0.056794,0.0288291,0.023134,0.0669462,0.0458159,0.0632413,0.0797722,0.0550114,0.0623827,0.0618633,0.0329161,0.047026,0.0799282,0.033944,0.0145053,0.0205661,0.012868,0,0.0273337,0.0576088,0.0452088,0,0,0.021416,0,0,0.0246415,0.0660315,0.00829612,0.0267985,0.0281636,0.0509744,0.0310023,0.0315743,0.0620725,0.0326659,0.0252022,0.0263838,0.00868832,0.0359399,0.0258249,0.036625,0.00705716,0.019939,0.0539853,0.0481054,0,0,0,0,0.0642167
12,0,0,0,0,0.0281057,0.0590464,0,0,0,0.0364992,0,0.0177641,0.0356581,0,0,0.0223291,0,0,0.0442482,0.0566721,0.0561472,0.0293922,0.0231385,0.0671277,0.0455326,0.0638437,0.0802185,0.0549476,0.0627703,0.0625267,0.0336512,0.0473429,0.0783566,0.0340725,0.0147691,0.0201456,0.0132166,0,0.0273424,0.0581158,0.0451822,0,0,0.0213277,0,0,0.024742,0.0660852,0.00840706,0.0276128,0.0280094,0.0505742,0.031087,0.0314454,0.0618426,0.0325919,0.0254704,0.0262222,0.00853183,0.0361188,0.0253706,0.0366712,0.00722109,0.0198905,0.0540306,0.0479132,0,0,0,0,0.0639612
13,0,0,0,0,0.0278754,0.0588957,0,0,0,0.0362184,0,0.018163,0.0358659,0,0,0.0221659,0,0,0.0440882,0.0564592,0.0568467,0.0299411,0.0241257,0.0669477,0.0445258,0.063348,0.0803601,0.0546871,0.0632999,0.0624323,0.0339043,0.0481305,0.0764784,0.0341284,0.0147223,0.0197265,0.0139805,0,0.0275658,0.0582452,0.0454764,0,0,0.0214404,0,0,0.0250201,0.0665611,0.00837895,0.0277521,0.0281647,0.0508419,0.0316174,0.0311264,0.0617056,0.03284,0.0259684,0.026294,0.00837086,0.0363198,0.0242616,0.0364262,0.00751141,0.0202004,0.0538368,0.0478697,0,0,0,0.025584,0.0632913
14,0,0,0,0,0.0278362,0.0590801,0,0,0,0.0357219,0,0.0180714,0.0353568,0,0,0.021993,0,0,0.0440405,0.0566485,0.0560915,0.0306471,0.0240763,0.0667902,0.0447499,0.0640131,0.0811304,0.0547552,0.0636771,0.0628044,0.0342892,0.0480554,0.0750212,0.0341633,0.0148702,0.0194897,0.0137232,0,0.0277973,0.059229,0.045376,0,0,0.0213992,0,0,0.0249561,0.0663637,0.00866786,0.0269322,0.0279568,0.0503247,0.0316328,0.0307472,0.0615024,0.0325817,0.0262624,0.0265781,0.00833065,0.0363167,0.0242726,0.0365125,0.00739441,0.0201872,0.0541047,0.0475183,0,0,0,0.0251487,0.0629646
15,0,0,0,0,0.0278067,0.0592568,0,0,0,0.0332891,0,0.0205934,0.0350046,0,0,0.0222587,0,0,0.0436753,0.0568628,0.0582116,0.0313195,0.0238722,0.0664051,0.0449469,0.064231,0.0813388,0.0546738,0.0637889,0.0628703,0.0345041,0.0482435,0.0711287,0.0340417,0.0153019,0.0187266,0.0131991,0,0.028106,0.0602321,0.0452829,0,0,0.021615,0,0,0.0247404,0.0662109,0.00892563,0.0261879,0.027534,0.0497832,0.0317238,0.0303811,0.0617833,0.032276,0.0271348,0.0266192,0.00831596,0.0364709,0.0247215,0.0365638,0.00733678,0.0198626,0.0543242,0.047201,0,0,0,0.0248109,0.062631
16,0,0,0,0,0.0278384,0.0593902,0,0,0,0.0342074,0,0.0172524,0.0364577,0,0,0.021705,0,0,0.0435577,0.0572587,0.0524624,0.0303154,0.0244613,0.0652256,0.0435633,0.0648831,0.0834974,0.0550329,0.0636357,0.0626571,0.0347624,0.0475247,0.0699704,0.0344072,0.0154426,0.0180023,0.00981992,0,0.0280591,0.0627633,0.0455966,0,0,0.0211826,0,0,0.0247007,0.0648628,0.0131787,0.0287087,0.0235549,0.0499479,0.0314616,0.0319599,0,0.0343573,0.026422,0.0263069,0.00834202,0.0342907,0.0295965,0.0370216,0.00742969,0.0195408,0.0543149,0.0463778,0,0,0,0.0263311,0.0638166
17,0,0,0,0,0.0278036,0.0592383,0,0,0,0.0336106,0,0.0171679,0.0354683,0,0,0.0218391,0,0,0.043806,0.0571615,0.0510697,0.0321715,0.0247266,0.065559,0.0441393,0.0655238,0.0847389,0.0547183,0.0637139,0.0628682,0.0354294,0.0474845,0.0678375,0.0341846,0.0151942,0.0185089,0.00815764,0,0.0297838,0.0613462,0.0453148,0,0,0.0213292,0,0,0.0248478,0.0675527,0.0099135,0.0277892,0.02422,0.0491666,0.0315171,0.0303871,0.0611199,0.0314083,0.0290311,0.0265945,0.0101268,0.0373205,0.0310756,0.0368147,0.00753734,0.0197351,0.054044,0.0471552,0,0,0,0.0283641,0.0605611
18,0,0,0,0,0.0277536,0.0591088,0,0,0,0.0315225,0,0.0192798,0.0353418,0,0,0.0216757,0,0,0.0438879,0.0566415,0.0527496,0.0336593,0.0242623,0.0659831,0.0446523,0.0658736,0.0848644,0.0545194,0.0632663,0.0631072,0.0358825,0.0470338,0.0637533,0.0340155,0.0146779,0.0192856,0.00807474,0,0.0276906,0.0597606,0.0451147,0,0,0.0214728,0,0,0.0247348,0.0698971,0.00913468,0.0258118,0.0274288,0.0484259,0.0314453,0.0296992,0.0577091,0.0301252,0,0.0241402,0.0129691,0,0.031575,0.0367217,0.00742288,0.0197405,0.0537669,0.0478459,0,0,0,0.0256073,0.0579291
19,0,0,0,0,0.0277908,0.0590586,0,0,0,0.0312346,0,0.0170458,0.0359115,0,0,0.0216747,0,0,0.0436773,0.0569127,0.0463867,0.0336132,0.024146,0.0658511,0.0441369,0.0669935,0.0865193,0.0547453,0.0633671,0.0636731,0.0367823,0.0467857,0.0608641,0.0340881,0.014645,0.0189485,0.0100089,0,0.0264871,0.059808,0.0451655,0,0,0.0211703,0,0,0.024595,0.0701475,0.0096378,0.0266521,0.0275496,0.0482605,0.0311806,0.0291248,0.0575602,0.0300077,0,0.0242285,0.0142756,0,0.0304119,0.0369294,0.00725072,0.0196191,0.0535519,0.0478203,0,0,0,0.024812,0.0576443
20,0,0,0,0,0.0278384,0.058978,0,0,0,0.0299139,0,0.0169059,0.0366203,0,0,0.021504,0,0,0.0436846,0.0570273,0.0434487,0.0335244,0.0234638,0.0657695,0.0435183,0.0673127,0.0869558,0.0546354,0.0633798,0.0641543,0.0370087,0.0465059,0.0557343,0.0342378,0.0148287,0.0186051,0.0106916,0,0.0261993,0.0598896,0.0453014,0,0,0.0209431,0,0,0.0244762,0.0706124,0.00990544,0.0271099,0.0276407,0.0481643,0.0308684,0.0282719,0.0574248,0.0299275,0,0.0245587,0.0149313,0,0.0293833,0.0370825,0.00723209,0.0194242,0.0533846,0.0477317,0,0,0,0.0251739,0.0575239
21,0,0,0,0,0.0279566,0.059162,0,0,0,0.0289975,0,0.0169511,0.0374189,0,0,0.021294,0,0,0.0433516,0.0571877,0.0409273,0.0338569,0.0224106,0.0655736,0.0433823,0.0674331,0.0872273,0.0542963,0.0634201,0.0645875,0.0375899,0.0458977,0.0497059,0.0343114,0.0143837,0.0188076,0.0105997,0,0.0265901,0.0600348,0.0451973,0,0,0.020776,0,0,0.0244418,0.0711883,0.00996929,0.0267851,0.0278642,0.0478917,0.0305954,0.0280321,0.0574026,0.0298377,0,0.0250288,0.0150292,0,0.0285235,0.0372717,0.0073358,0.0192005,0.0535014,0.047533,0,0,0,0.0259299,0.0574885
