Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74
All Timesteps RMSE,0.0186423,0.0196118,0,0,0,0,0,0,0.0188632,0.0284678,0.0151483,0.00554662,0,0,0.0740092,0,0.0274114,0.041364,0.0342526,0.0181459,0.0117544,0.00770508,0.0099584,0.057256,0.00484617,0.00481942,0.00446845,0.0158438,0.0126695,0.0134138,0.0080948,0.0239823,0.0229406,0.0466766,0.0254025,0.0209241,0.00689817,0.00701189,0.00660803,0.00788659,0.0154679,0,0,0.0410668,0,0.0139896,0.0204733,0.0562696,0.0111563,0.0182606,0.00556804,0.0115151,0.0139556,0.00347831,0.0280947,0.00635459,0.00464692,0.00465435,0.0215996,0.00532623,0.00776472,0.0110224,0.0318669,0.00822243,0.00884506,0.018355,0.0224615,0,0,0,0,0,0,0,0
0,0.0220185,0.0306236,0,0,0,0,0,0,0.0102808,0.0294083,0.00518106,0.00298851,0,0,0.0656288,0,0.0438685,0.0433245,0.033125,0.00232628,0.0141213,0.00368325,0.00824498,0.0711195,0.00361156,0.00503567,0.00290485,0.0171061,0.00463132,0.00429268,0.00411419,0.0261758,0.0113639,0.045149,0.0410689,0.0327307,0.0159654,0.0101434,0.00876349,0.00667059,0.0151725,0,0,0.0321022,0,0.011756,0.0220542,0.0540804,0.0156277,0.0242458,0.00839429,0.00916932,0.0124329,0.00594686,0.028606,0.00917353,0.00718846,0.00328232,0.0254664,0.00579819,0.00922657,0.0225597,0.0259029,0.0138277,0.0131789,0.0296152,0.0280722,0,0,0,0,0,0,0,0
1,0.0216312,0.0306776,0,0,0,0,0,0,0.00975737,0.0295632,0.00506907,0.00293524,0,0,0.0657956,0,0.0439353,0.0433145,0.033195,0.00242159,0.0150509,0.00375751,0.00852879,0.0700787,0.00503208,0.00509197,0.00311225,0.0172891,0.00459437,0.00421108,0.00405558,0.0262381,0.0108343,0.0453437,0.0412664,0.032987,0.0162329,0.0100136,0.00868027,0.00695027,0.014786,0,0,0.0319603,0,0.0115993,0.0220514,0.0540543,0.0154756,0.0246993,0.00847315,0.00956151,0.0122702,0.00588166,0.0286313,0.00927309,0.00748765,0.00330842,0.0257317,0.00599245,0.00925576,0.0225851,0.0256125,0.0132312,0.0129001,0.0297407,0.027603,0,0,0,0,0,0,0,0
2,0.0214308,0.0307189,0,0,0,0,0,0,0.00922303,0.0296378,0.00492673,0.00321014,0,0,0.0659455,0,0.0437522,0.0434622,0.0331359,0.00259264,0.0150332,0.00373166,0.00898427,0.0692133,0.00348523,0.0052455,0.0032603,0.0173402,0.00451069,0.0041281,0.00405642,0.0262486,0.0103076,0.0456272,0.0411743,0.033437,0.0162476,0.00988528,0.00864928,0.00714808,0.0145404,0,0,0.0319789,0,0.0114131,0.0221421,0.0541657,0.0154547,0.0248419,0.00840443,0.00993552,0.0123181,0.00583981,0.0286167,0.00923357,0.00752282,0.00341187,0.0257852,0.0061422,0.00939039,0.0226678,0.0253348,0.0129912,0.0123394,0.0299116,0.0271815,0,0,0,0,0,0,0,0
3,0.0213398,0.0308091,0,0,0,0,0,0,0.0088188,0.0296426,0.00477571,0.00346626,0,0,0.066071,0,0.0433466,0.0438095,0.0330588,0.00255795,0.0148983,0.00365892,0.00938497,0.0686513,0.00191608,0.00539703,0.00336903,0.017366,0.00442016,0.00404848,0.00401041,0.0262653,0.00967235,0.0459117,0.0408286,0.0338806,0.0161154,0.00970459,0.00858206,0.0073062,0.0143794,0,0,0.031995,0,0.0111987,0.022299,0.0543434,0.0154002,0.0249059,0.00827794,0.0102336,0.0124629,0.00585056,0.0285601,0.00917901,0.00751096,0.00352446,0.0257543,0.00623358,0.00947434,0.0226264,0.0249715,0.0128631,0.011681,0.0300098,0.0269264,0,0,0,0,0,0,0,0
4,0.021189,0.0309183,0,0,0,0,0,0,0.00842905,0.0297177,0.00459633,0.00374611,0,0,0.065942,0,0.043345,0.0440237,0.0329834,0.0024987,0.0148087,0.00367977,0.00970248,0.0681526,0.00216742,0.005423,0.00335782,0.017392,0.0042978,0.00392519,0.00390985,0.0263033,0.00908242,0.045936,0.0408772,0.0339408,0.0159951,0.00947218,0.00848275,0.00748553,0.0141801,0,0,0.0318255,0,0.0109259,0.0225065,0.0545195,0.0153176,0.0249976,0.00816504,0.0104851,0.0126241,0.00585447,0.0285636,0.00911412,0.00745209,0.00358271,0.0257022,0.0062769,0.00947568,0.0226313,0.0245249,0.0122197,0.0109437,0.0297736,0.0266335,0,0,0,0,0,0,0,0
5,0.0208872,0.0309499,0,0,0,0,0,0,0.00800645,0.0297381,0.00438795,0.00380877,0,0,0.0658221,0,0.0430908,0.0441043,0.0328942,0.00252892,0.0150433,0.00346652,0.00982989,0.0675933,0.00291841,0.00531692,0.00328663,0.0173831,0.00418807,0.00377943,0.00385361,0.0263847,0.00850368,0.0459018,0.0407341,0.0340253,0.015891,0.00922583,0.00839629,0.00766963,0.0139192,0,0,0.0315708,0,0.010643,0.0228742,0.0546252,0.0152479,0.0251054,0.00805088,0.0106499,0.0128692,0.00582072,0.0285861,0.00898408,0.00734099,0.00357991,0.0256363,0.00625853,0.00943084,0.0225852,0.0241522,0.0116264,0.0101786,0.0300974,0.0262486,0,0,0,0,0,0,0,0
6,0.0206353,0.0309892,0,0,0,0,0,0,0.00777346,0.0297986,0.00429832,0.00397853,0,0,0.0656905,0,0.0427731,0.0440518,0.0328234,0.0026917,0.0149511,0.00373997,0.00997798,0.0672921,0.00293684,0.00514361,0.00319816,0.0173367,0.0041424,0.00364197,0.00382868,0.0264279,0.00810352,0.0457695,0.0406118,0.0340635,0.0157104,0.00894919,0.00831625,0.00781948,0.0135813,0,0,0.0311353,0,0.0103252,0.0233833,0.0547475,0.0151857,0.0251082,0.00795526,0.0107757,0.0132462,0.00582542,0.0285842,0.00891938,0.00728249,0.00358772,0.0255283,0.00620647,0.00938716,0.022577,0.0237573,0.0112793,0.00942765,0.03049,0.0258417,0,0,0,0,0,0,0,0
7,0.0205549,0.0310816,0,0,0,0,0,0,0.00766497,0.0299026,0.00414028,0.00420345,0,0,0.0655308,0,0.0424968,0.0438475,0.0327612,0.0030418,0.0146739,0.00394558,0.0101508,0.0673353,0.00255346,0.00492559,0.0031191,0.0172818,0.00409369,0.00350366,0.00380257,0.0264522,0.00777023,0.0455599,0.0405791,0.0339969,0.0154848,0.00867446,0.00818332,0.00790989,0.0134528,0,0,0.0305139,0,0.0099731,0.0236009,0.0549038,0.0150388,0.0250859,0.0079093,0.0108904,0.0137688,0.00584766,0.0285554,0.00895451,0.00724854,0.00353735,0.0254703,0.00607898,0.00932338,0.0223687,0.0234216,0.0111366,0.00869881,0.0307957,0.0256204,0,0,0,0,0,0,0,0
8,0.020418,0.0311684,0,0,0,0,0,0,0.00753363,0.029956,0.00402191,0.00417324,0,0,0.065338,0,0.0420848,0.0436017,0.0327254,0.00344812,0.0146663,0.00394557,0.0101424,0.0672374,0.00230003,0.00452684,0.00304712,0.0172255,0.00404583,0.00338359,0.00376232,0.0264843,0.00734622,0.0454111,0.0405083,0.0338434,0.0152376,0.00843867,0.00804922,0.00790387,0.0133132,0,0,0.0297439,0,0.00967617,0.0233356,0.0550258,0.0149384,0.0251082,0.00783528,0.0108862,0.0142799,0.00585583,0.0285529,0.00892695,0.00719606,0.00342159,0.0254551,0.0059057,0.00921827,0.0220322,0.0230932,0.0109489,0.00792162,0.0310143,0.0253496,0,0,0,0,0,0,0,0
