Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTHII,LTHIP,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x71,x72,x73,x74
All Timesteps RMSE,0.0113746,0.0156808,0,0,0,0,0,0,0.0162638,0.0291216,0.0132208,0.00515727,0,0,0.0676213,0,0.0290346,0.0387755,0.0360168,0.0166455,0.0110013,0.00752954,0.00880341,0.0519531,0.00456997,0.00573474,0.00456488,0.016405,0.0105372,0.0114204,0.00562795,0.0238971,0.0189959,0.0419307,0.0284526,0.0232166,0.00673592,0.00696833,0.00630364,0.00780547,0.0133392,0,0,0.0388055,0,0.0150495,0.0200953,0.0570604,0.00949299,0.0178781,0.00649673,0.0106465,0.0162221,0.00382671,0.0281618,0.00695818,0.00508234,0.00443747,0.0204138,0.00508527,0.00646056,0.00932971,0.0278481,0.0103966,0.0105355,0.0145197,0.015998,0,0,0,0,0,0,0,0
0,0.0112858,0.0236708,0,0,0,0,0,0,0.00272554,0.024973,0.00260541,0.00357504,0,0,0.0659838,0,0.0392819,0.0403785,0.0364025,0.00598432,0.0114371,0.00322722,0.00261972,0.0388133,0.000853446,0.00151413,0.00158054,0.0165745,0.00346575,0.00263198,0.00255408,0.0256378,0.00198152,0.0536158,0.0274185,0.018093,0.00812978,0.00628957,0.00216694,0.00435516,0.0146817,0,0,0.0311599,0,0.00803529,0.0192076,0.0598989,0.00611755,0.0194968,0.0051786,0.00224921,0.0121597,0.00385796,0.0292962,0.00510775,0.00427595,0.000869028,0.0235136,0.00212385,0.00427523,0.0114319,0.0199986,0.00847516,0.00308689,0.0224586,0.0216481,0,0,0,0,0,0,0,0
1,0.01119,0.0237216,0,0,0,0,0,0,0.0025664,0.0249387,0.00260076,0.00361579,0,0,0.0664455,0,0.0391926,0.0406296,0.036358,0.00597483,0.0114659,0.00320847,0.00263286,0.0385326,0.00113413,0.0017417,0.0014642,0.016666,0.00347305,0.00262048,0.00256868,0.0257125,0.0020829,0.0538451,0.0272937,0.0181339,0.00819722,0.00626062,0.00219727,0.0044807,0.0145904,0,0,0.0309252,0,0.00810543,0.0191314,0.0599601,0.00608642,0.0196648,0.00513818,0.00240836,0.0123723,0.00389562,0.0292571,0.00509461,0.00428828,0.000840245,0.02352,0.00215461,0.00430519,0.0114764,0.0194667,0.0083823,0.003073,0.0224305,0.0216878,0,0,0,0,0,0,0,0
2,0.0111684,0.0237546,0,0,0,0,0,0,0.00279775,0.0250239,0.00256255,0.00387962,0,0,0.0671583,0,0.03901,0.041105,0.036274,0.00592851,0.0114816,0.00322519,0.00269589,0.0383261,0.000880488,0.00186076,0.0013976,0.01674,0.00351925,0.00271044,0.00261881,0.0257702,0.00206688,0.0539515,0.0270807,0.0181663,0.00840452,0.00625144,0.00218599,0.00461014,0.0144776,0,0,0.0306044,0,0.00817759,0.0188309,0.0600263,0.00610097,0.0197964,0.00508929,0.00263026,0.0126652,0.00387671,0.0292466,0.00511164,0.0042771,0.000826892,0.0235167,0.0022012,0.00434976,0.0115886,0.0189693,0.00819823,0.0030721,0.0224845,0.0217186,0,0,0,0,0,0,0,0
3,0.0111564,0.0238394,0,0,0,0,0,0,0.00308731,0.0250824,0.00247403,0.00412948,0,0,0.0679641,0,0.0387614,0.0414859,0.036174,0.00590041,0.0114982,0.00323728,0.00280112,0.0381459,0.000581533,0.00193718,0.00136561,0.0168258,0.00355972,0.00289351,0.00269034,0.0258219,0.00200603,0.0540216,0.0267964,0.0182284,0.00859752,0.00626865,0.00216381,0.00475131,0.0143577,0,0,0.0302677,0,0.00829588,0.0184025,0.0600755,0.00615978,0.0199194,0.00508603,0.00288845,0.0130207,0.00383581,0.0292354,0.0051422,0.00425951,0.00082714,0.0235298,0.0022732,0.00440933,0.0117151,0.0185301,0.0080135,0.00313549,0.0225639,0.0215771,0,0,0,0,0,0,0,0
4,0.011124,0.023946,0,0,0,0,0,0,0.00298482,0.0251864,0.00247961,0.00438603,0,0,0.0688585,0,0.0384847,0.0418256,0.0361353,0.00594317,0.0115905,0.00321454,0.00296056,0.0380545,0.000531667,0.00199863,0.00139502,0.0169136,0.00359777,0.00294283,0.00272918,0.0258761,0.00202072,0.0544866,0.0264997,0.0183615,0.00858383,0.00629896,0.00216697,0.00486417,0.0142502,0,0,0.0298729,0,0.00848847,0.018011,0.060111,0.00625737,0.0200324,0.0051458,0.00316389,0.0133649,0.00381288,0.029239,0.00517474,0.00423713,0.000817382,0.0235428,0.00231921,0.00445933,0.0118119,0.0181874,0.00791649,0.0032474,0.0226552,0.0213427,0,0,0,0,0,0,0,0
5,0.0110793,0.024066,0,0,0,0,0,0,0.0027427,0.0253784,0.00263234,0.00454056,0,0,0.0698346,0,0.038202,0.0420659,0.0361178,0.00598344,0.0117411,0.00318207,0.00310533,0.0379757,0.00049464,0.00195867,0.00144734,0.0169814,0.00363667,0.00289901,0.00275909,0.025919,0.00212723,0.0553112,0.0262285,0.0185478,0.00856882,0.00631299,0.00219407,0.00498335,0.0141373,0,0,0.0293889,0,0.00872203,0.0178251,0.0601039,0.00629144,0.0201654,0.00526994,0.00342451,0.0137588,0.00385204,0.0292356,0.00522081,0.00427186,0.000802711,0.0235528,0.00230937,0.00446824,0.0120226,0.0179418,0.0079444,0.00339879,0.0227759,0.0211541,0,0,0,0,0,0,0,0
6,0.0110385,0.0241874,0,0,0,0,0,0,0.00246678,0.0255699,0.00255923,0.00482358,0,0,0.0708412,0,0.0379447,0.0425743,0.036077,0.00604051,0.0118938,0.00312633,0.00317726,0.0379603,0.000583942,0.00183972,0.00150069,0.0170397,0.00367749,0.00286517,0.00278849,0.0259436,0.00226037,0.0561095,0.0259869,0.0187264,0.00853841,0.00629052,0.00214748,0.00509853,0.0140192,0,0,0.0288609,0,0.00896535,0.0177737,0.0600844,0.00625235,0.0202722,0.00539831,0.00355943,0.0141478,0.00387298,0.0292098,0.0052765,0.00435096,0.000790249,0.0235411,0.00226328,0.00443374,0.0120079,0.0178225,0.00811593,0.00362052,0.0229097,0.0210897,0,0,0,0,0,0,0,0
7,0.0110084,0.0242929,0,0,0,0,0,0,0.00217439,0.0256826,0.00237397,0.00435429,0,0,0.0718144,0,0.0376266,0.0431181,0.0362162,0.00618772,0.0120981,0.00309443,0.00318424,0.0381122,0.00108872,0.00170519,0.00160979,0.017054,0.00370112,0.00296937,0.0028357,0.0259417,0.00258821,0.056942,0.0257819,0.0188276,0.00846159,0.00630567,0.00205599,0.0052202,0.0139643,0,0,0.0283182,0,0.00926679,0.0176007,0.0600617,0.00612992,0.0203794,0.00546942,0.00363141,0.0144236,0.0038786,0.0291625,0.00529277,0.00442772,0.000804643,0.0235025,0.0022353,0.00434351,0.0118441,0.0178524,0.00824723,0.00398722,0.0230434,0.0211741,0,0,0,0,0,0,0,0
8,0.0109822,0.0244012,0,0,0,0,0,0,0.00196505,0.0258898,0.00235041,0.00319347,0,0,0.0725441,0,0.0372832,0.0434784,0.0362704,0.00648373,0.0122357,0.00307296,0.00316661,0.0384117,0.00135707,0.00168578,0.0016005,0.0171008,0.00372727,0.00314899,0.00289246,0.0259648,0.00274671,0.0578703,0.0256271,0.0188844,0.00840377,0.00631201,0.0019572,0.00535619,0.0140502,0,0,0.0278095,0,0.00957567,0.0173145,0.0600142,0.00600656,0.0204959,0.00546426,0.00367793,0.0146117,0.00383207,0.0290818,0.00528198,0.00438471,0.000772462,0.0234453,0.0021722,0.00422483,0.011743,0.0180113,0.00839733,0.00443563,0.0231947,0.0213782,0,0,0,0,0,0,0,0
9,0.0110325,0.0245794,0,0,0,0,0,0,0.00192841,0.0259838,0.0026191,0.00273445,0,0,0.0730205,0,0.0369338,0.0436897,0.0361433,0.00651671,0.01223,0.00301301,0.00316421,0.038986,0.0013003,0.00176049,0.00149491,0.0171757,0.00377242,0.00329579,0.00295868,0.0260433,0.00258442,0.0586385,0.0255051,0.0189082,0.00839533,0.00628059,0.0019005,0.00541823,0.0142867,0,0,0.0273374,0,0.00983555,0.0170776,0.060023,0.00590117,0.0205483,0.0055122,0.00370439,0.014716,0.0038321,0.0290081,0.0053381,0.00436665,0.000715727,0.0234098,0.00204154,0.00408139,0.0117142,0.0182127,0.00857269,0.00474522,0.0233972,0.0217912,0,0,0,0,0,0,0,0
10,0.0111914,0.024944,0,0,0,0,0,0,0.00194541,0.0259764,0.0027136,0.00306418,0,0,0.0732658,0,0.0364979,0.0438398,0.0360021,0.00628885,0.0122022,0.00296461,0.00312253,0.040018,0.00120556,0.00187872,0.00145317,0.0172534,0.00382466,0.00333574,0.00302485,0.0261025,0.00246688,0.0593114,0.025423,0.0188407,0.00826518,0.00624317,0.00189508,0.00541962,0.0147402,0,0,0.0269255,0,0.0100678,0.0170382,0.0600621,0.00588122,0.0204981,0.00552354,0.00370256,0.0146723,0.00384842,0.0290052,0.00534721,0.00436917,0.000717519,0.0234077,0.00200164,0.00401221,0.0115667,0.0184282,0.00859415,0.00496041,0.0237879,0.0225205,0,0,0,0,0,0,0,0
11,0.0116074,0.0256342,0,0,0,0,0,0,0.00187522,0.026032,0.002818,0.00397811,0,0,0.0732288,0,0.0359078,0.0437203,0.0359484,0.00619936,0.012269,0.00297026,0.00305135,0.0417355,0.00119046,0.00201114,0.00154185,0.0172738,0.00386292,0.00337391,0.00306394,0.026108,0.00255824,0.0600283,0.0253637,0.0185937,0.00804523,0.00620732,0.00192117,0.00537847,0.015503,0,0,0.0265238,0,0.010303,0.0170172,0.0601346,0.00587538,0.0203518,0.00545054,0.00361638,0.0145337,0.00380514,0.0290257,0.00528429,0.00432152,0.00073391,0.0233998,0.0020059,0.00400403,0.0113548,0.0185379,0.00865007,0.00520387,0.0244854,0.0236874,0,0,0,0,0,0,0,0
