Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x73,x74,LTHII,x71,x72,LTHIP
All Timesteps RMSE,0.0232296,0.0257211,0,0,0,0,0,0,0.016386,0.02177,0.0124004,0.00620885,0,0,0.0802026,0,0.0444985,0.0485361,0.0335716,0.0153601,0.0132296,0.00719577,0.0126988,0.0680305,0.00687338,0.0059017,0.00925263,0.0100448,0.00537331,0.0225188,0.0207409,0.0539896,0.0292103,0.0262321,0.0128622,0.00899177,0.0169672,0.00929642,0.0224858,0,0,0.0369408,0,0.0161345,0.0209986,0.0586182,0.0220596,0.0222493,0.00728805,0.0129874,0.0162313,0.00390971,0.0311709,0.00564941,0.0051717,0.00990385,0.0222811,0.0122827,0.0143907,0.013503,0.0306649,0.0129236,0.0134967,0.0243368,0.0274026,0,0,0,0,0,0,0.005114,0,0,0.0202175
0,0.0196104,0.0204341,0,0,0,0,0,0,0.02328,0.023945,0.0203821,0.00780876,0,0,0.0415559,0,0.0606268,0.0357416,0.027521,0.0256517,0.0072771,0.0164387,0.0106564,0.0583789,0.00382609,0.00880858,0.0177924,0.0168826,0.00527682,0.0181019,0.0293207,0.0233806,0.0368304,0.0392853,0.0296218,0.0108524,0.0414948,0.00555651,0.0211036,0,0,0.0204776,0,0.0182231,0.0226965,0.0518717,0.0495581,0.0128433,0.0164661,0.00873993,0.012034,0.00949418,0.0306071,0.00477004,0.0119215,0.0231418,0.0175212,0.0305437,0.0327108,0.0208286,0.0140109,0.0213456,0.0247808,0.0184947,0.0173695,0,0,0,0,0,0,0,0,0,0
1,0.0214126,0.0215178,0,0,0,0,0,0,0.0227756,0.0221119,0.0205174,0.00784253,0,0,0.0368904,0,0.0581978,0.0331875,0.027634,0.0253897,0.0080728,0.017663,0.00937926,0.0597615,0.00408503,0.0098099,0.0186069,0.0166331,0.00503289,0.017533,0.0278303,0.0243036,0.0372678,0,0.0298413,0.0109583,0.0403925,0.00497257,0.0224214,0,0,0.0207633,0,0.0177231,0.0204158,0.0515644,0.048027,0.0136239,0.0156359,0.00769214,0.0113989,0.00956998,0.0308282,0.00437321,0.0119755,0.0227881,0.0172241,0.0297992,0.030665,0.0218841,0.0162352,0.0203026,0.0227626,0.0193655,0.018848,0,0,0,0,0,0,0,0,0,0
2,0.021329,0.0213209,0,0,0,0,0,0,0.0214325,0.0240033,0.0200084,0.00801038,0,0,0.0317367,0,0.0584594,0.0283142,0.0275658,0.0241261,0.00822857,0.0178613,0.00908563,0.0589588,0.00439665,0.0103832,0.0175661,0.0161847,0.00504554,0.0175668,0.0261354,0.0242734,0.0363161,0.0345437,0.0300325,0.0109622,0.0404787,0.00488365,0.0223922,0,0,0.0207434,0,0.017743,0.020478,0.0515479,0.0481325,0.0137869,0.015638,0.00757124,0.0115181,0.00947835,0.0308554,0.00440736,0.0117206,0.0228734,0.0172011,0.0298197,0.0310795,0.0222359,0.0160428,0.0203844,0.0227588,0.0192333,0.0188212,0,0,0,0,0,0,0,0,0,0
3,0.0216591,0.0213102,0,0,0,0,0,0,0.0207821,0.0221315,0.0198359,0.00821912,0,0,0.0358346,0,0.0579854,0.0322677,0.0274874,0.0235714,0.00837493,0.0181328,0.00861777,0.0595774,0.00457877,0.0107865,0.0168607,0.0158851,0.00508653,0.0175886,0.0248021,0.0242471,0.037023,0,0.0301539,0.0109439,0.0407699,0.00481966,0.022487,0,0,0.0206133,0,0.017754,0.0204966,0.0513422,0.0485182,0.0140474,0.0156357,0.00743742,0.0114382,0.00952792,0.030905,0.00420652,0.0116385,0.0229366,0.017162,0.0298888,0.0315398,0.0221279,0.0159977,0.0203531,0.0227257,0.019194,0.0189206,0,0,0,0,0,0,0,0,0,0
4,0.0150275,0.0147816,0,0,0,0,0,0,0.019544,0.0246579,0.0192672,0.0084584,0,0,0.0362533,0,0.0584372,0.0289083,0.0273618,0.0220435,0.00829079,0.0178516,0.0086947,0.0491121,0.00449105,0.0107182,0.0163727,0.015381,0.005063,0.0179441,0.0228844,0.0268049,0.037605,0.0337892,0.0302247,0.0108921,0.0410961,0.00500602,0.0155912,0,0,0.0207154,0,0.017725,0.0202755,0.0513806,0.0488525,0.0137745,0.0154552,0.007815,0.0103873,0.00955136,0.0308797,0.00427595,0.0116366,0.0230679,0.0169748,0.0300772,0.0318434,0.0221755,0.0163418,0.0202697,0.0225025,0.0126546,0.0104146,0,0,0,0,0,0,0,0,0,0
5,0.0131788,0.0129652,0,0,0,0,0,0,0.020756,0.0248773,0.0165153,0.00919171,0,0,0.0371976,0,0.0583628,0.0288615,0.0266493,0.0170902,0.00768537,0.0258076,0.00819955,0.0466266,0.00789972,0.0150587,0.0163876,0.0161218,0.00544282,0.0186536,0.0151421,0.0276528,0.037711,0.0338027,0.0304024,0.010847,0.041655,0.00555305,0.0135432,0,0,0.0208021,0,0.0176929,0.0200959,0.0512357,0.0495843,0.01393,0.0155017,0.00745326,0.0105095,0.00912805,0.0314728,0.00437436,0.0118011,0.0233052,0.0167667,0.0304198,0.0320882,0.0220791,0.0163907,0.020212,0.0223481,0.0109871,0.00790752,0,0,0,0,0,0,0,0,0,0
6,0.0120628,0.0118019,0,0,0,0,0,0,0.0159904,0.0249261,0.0155548,0.00851137,0,0,0.0370591,0,0.0582728,0.0284763,0.0266133,0.015834,0.0079208,0.0209598,0.00803055,0.0450084,0.00589374,0.011998,0.0151616,0.0142593,0.0048347,0.0197182,0.0121006,0.0276854,0.0376459,0.0336168,0.0303835,0.0108487,0.0414122,0.00539482,0.0124278,0,0,0.020654,0,0.0176812,0.0201118,0.051368,0.0492636,0.0139438,0.0154749,0.00755786,0.00992368,0.00898026,0.0315211,0.00430949,0.0117699,0.0229807,0.0166441,0.0302971,0.0316912,0.0223,0.0163068,0.0202312,0.02235,0.00989304,0.00668537,0,0,0,0,0,0,0,0,0,0
7,0.0114083,0.0111366,0,0,0,0,0,0,0.0133067,0.0248935,0.0153017,0.00809547,0,0,0.0367676,0,0.0581767,0.0281945,0.0267382,0.0155305,0.00821662,0.017669,0.00785592,0.0441007,0.00451829,0.0101233,0.0143371,0.0131757,0.00425882,0.0202247,0.0114726,0.0277485,0.0375325,0.0334283,0.0302333,0.010838,0.0412185,0.00527568,0.0118995,0,0,0.0204814,0,0.0176279,0.0201354,0.0512914,0.049071,0.0140271,0.0153377,0.00763049,0.00954277,0.00911028,0.0315324,0.0044038,0.0118129,0.022632,0.016398,0.0301864,0.0317195,0.0220535,0.0161569,0.0202179,0.0223273,0.00928148,0.0061597,0,0,0,0,0,0,0,0,0,0
8,0.0110104,0.010689,0,0,0,0,0,0,0.0123721,0.0248021,0.0150705,0.00783859,0,0,0.0365392,0,0.0581676,0.028101,0.0269373,0.0152807,0.00835803,0.0155899,0.00763896,0.0435856,0.00377987,0.00914504,0.0138002,0.0126611,0.00392754,0.0204249,0.0126042,0.0278653,0.0373195,0.0336552,0.0300446,0.0108242,0.0411349,0.00519457,0.0117002,0,0,0.0202496,0,0.0175748,0.0200773,0.0510838,0.0490363,0.014006,0.0150275,0.00765003,0.00929248,0.00938986,0.0314982,0.00449079,0.0121123,0.0223186,0.016148,0.0301849,0.0316117,0.0217254,0.0159778,0.020204,0.0222907,0.00889227,0.00599149,0,0,0,0,0,0,0,0,0,0
9,0.0106309,0.0100507,0,0,0,0,0,0,0.0127871,0.0230118,0.0144007,0.00760732,0,0,0.0409851,0,0.0576431,0.0326392,0.02719,0.0146507,0.00834052,0.0143326,0.00732493,0.0433388,0.00343354,0.00863901,0.0133596,0.0122977,0.00391016,0.0206382,0.0153863,0.0291587,0.0381278,0,0.0300716,0.0108121,0.0410316,0.0050929,0.0112684,0,0,0.0199607,0,0.0175122,0.0199511,0.0508075,0.0489274,0.0139068,0.0148692,0.00755668,0.00895198,0.00949625,0.0316209,0.00441109,0.012098,0.0221117,0.0160737,0.0301443,0.0316458,0.02187,0.0159251,0.0201047,0.0221775,0.00821377,0.00551212,0,0,0,0,0,0,0,0,0,0
10,0.00491846,0.00452097,0,0,0,0,0,0,0.014106,0.0253707,0.0135039,0.00768132,0,0,0.0417619,0,0.0578383,0.0282376,0.0274631,0.0139486,0.00832646,0.0133343,0.00797996,0.0407073,0.00336246,0.00837206,0.0128741,0.0118628,0.00401202,0.0208383,0.0189199,0.0330372,0.0381813,0.0327814,0.0301688,0.0107403,0.0409429,0.00525271,0.00223101,0,0,0.0200271,0,0.0173466,0.0195494,0.0507454,0.0487994,0.0132253,0.014707,0.0083024,0.00750193,0.00952709,0.0316673,0.00427518,0.0115728,0.0217692,0.0160407,0.0300858,0.0314759,0.0223701,0.0167183,0.0198008,0.0217949,0.00442136,0.00983915,0,0,0,0,0,0,0,0,0,0
11,0.00557466,0.00531186,0,0,0,0,0,0,0.0163322,0.0253433,0.0132571,0.00755866,0,0,0.0419502,0,0.0577364,0.0281373,0.0277777,0.0140917,0.0087465,0.0125772,0.00791089,0.0414983,0.00313102,0.00806703,0.0127389,0.0119039,0.00428608,0.0210008,0.0220747,0.0338502,0.0381591,0.0326641,0.0306134,0.010744,0.0408214,0.00521746,0.0028454,0,0,0.0198042,0,0.0172057,0.0194235,0.0502766,0.0485379,0.0131901,0.014726,0.00827758,0.00718964,0.00939624,0.0318053,0.00436302,0.0109473,0.0217618,0.0161379,0.0299275,0.0315152,0.0229341,0.0166692,0.0196598,0.0216728,0.00560146,0.0112525,0,0,0,0,0,0,0,0,0,0
12,0.00830829,0.00796831,0,0,0,0,0,0,0.0180166,0.0253811,0.0136846,0.00732893,0,0,0.0428667,0,0.0575452,0.0279192,0.028011,0.0143723,0.00888868,0.0119135,0.00767011,0.0444766,0.0028198,0.00760837,0.0128114,0.012245,0.00460167,0.0211077,0.0236995,0.0353806,0.0384432,0.0322155,0.0309634,0.0107217,0.0409127,0.00536314,0.00577157,0,0,0.0196198,0,0.0170534,0.0192643,0.04974,0.0485864,0.0130194,0.0146673,0.00821467,0.00683114,0.00922105,0.0316292,0.00466523,0.0105209,0.0224397,0.0162335,0.0298041,0.031572,0.0234021,0.0167646,0.0194458,0.0214757,0.00873015,0.0151009,0,0,0,0,0,0,0,0,0,0
13,0.008881,0.00870381,0,0,0,0,0,0,0.0191663,0.0253183,0.0141772,0.00705823,0,0,0.042987,0,0.0574955,0.0278458,0.028186,0.0143978,0.00889236,0.0115931,0.0073071,0.0452407,0.00251151,0.00736838,0.0128103,0.012722,0.0048665,0.0210652,0.024539,0.0350336,0.0385502,0.0321185,0.0313067,0.010715,0.0409836,0.00534889,0.00629009,0,0,0.0194021,0,0.0168974,0.0191507,0.0491108,0.0486367,0.0129454,0.0145575,0.00804673,0.0067419,0.00909006,0.0315329,0.0048136,0.0104008,0.023475,0.0162584,0.0297114,0.0314179,0.0237551,0.0166053,0.0193371,0.0213084,0.0094983,0.0154867,0,0,0,0,0,0,0,0,0,0
14,0.0268645,0.0238211,0,0,0,0,0,0,0.0199247,0.0257002,0.0141097,0.00734568,0,0,0.0418184,0,0.0553606,0.0243627,0.0282767,0.0140891,0.00880243,0.0115327,0.00800167,0.073026,0.00248072,0.00768198,0.0123202,0.0127379,0.00505489,0.021108,0.0255743,0.0393984,0.0406271,0.0267787,0.0316353,0.010826,0.040831,0.00552007,0.0252662,0,0,0.0188979,0,0.0168882,0.0191201,0.0487224,0.0482881,0.0123161,0.0138963,0.00885881,0.00617136,0.00866669,0.031472,0.00465823,0.0104429,0.0223573,0.016313,0.0296125,0.0311342,0.0245368,0.0174894,0.0199099,0.0211557,0.0253253,0.0380578,0,0,0,0,0,0,0,0,0,0
15,0.028517,0.0254743,0,0,0,0,0,0,0.0205669,0.0256648,0.0142215,0.00759273,0,0,0.0384236,0,0.054655,0.0222111,0.0284842,0.013888,0.00915629,0.0124068,0.00833,0.0760958,0.00294972,0.00878068,0.0125374,0.0126356,0.00501949,0.0212964,0.0271906,0.0374045,0.040601,0.0251088,0.0319921,0.0110651,0.0405739,0.00543114,0.0269926,0,0,0.0185964,0,0.0166706,0.0190344,0.0482016,0.0478554,0.0122442,0.0134767,0.00920073,0.00598983,0.00847061,0.0313444,0.00438031,0.0103643,0.0214728,0.0163526,0.0293997,0.030733,0.0252543,0.0173341,0.0206742,0.0210958,0.0269067,0.0399306,0,0,0,0,0,0,0,0,0,0
16,0.0280582,0.0256318,0,0,0,0,0,0,0.0214571,0.0256606,0.0145728,0.00790358,0,0,0.0337131,0,0.0539038,0.0193382,0.0286773,0.0142166,0.00959312,0.0135037,0.00880178,0.0754265,0.0042346,0.0104545,0.0128201,0.0127362,0.00518815,0.0216777,0.0289187,0.0336108,0.0402364,0.0233592,0.0322813,0.0114444,0.0406841,0.00548602,0.0265446,0,0,0.0184044,0,0.0164393,0.018958,0.0477936,0.0479436,0.0118673,0.0129368,0.00971141,0.00559211,0.00912666,0.0311191,0.00415161,0.0103007,0.0210396,0.0163476,0.0293455,0.0305777,0.0257859,0.0171637,0.0216743,0.0211987,0.0269174,0.039113,0,0,0,0,0,0,0,0,0,0
17,0.0269961,0.0249454,0,0,0,0,0,0,0.0210482,0.0253262,0.0142937,0.00715963,0,0,0.0367102,0,0.0548044,0.0217049,0.0287547,0.0138729,0.00967371,0.0137203,0.00801195,0.0734115,0.00514671,0.0115012,0.0126605,0.0127555,0.00572671,0.0224045,0.0285384,0.034948,0.0404512,0.0252949,0.0326428,0.0111901,0.0408029,0.00481664,0.0255484,0,0,0.0178946,0,0.0162548,0.018762,0.0473021,0.0480127,0.0121944,0.012492,0.00857643,0.00544493,0.010242,0.0310892,0.00401102,0.0101199,0.0203087,0.0163847,0.0292393,0.0304445,0.0264146,0.0167282,0.0204003,0.0208915,0.0262234,0.0370812,0,0,0,0,0,0,0,0,0,0
18,0.0256182,0.0244161,0,0,0,0,0,0,0.0209056,0.0251174,0.0137574,0.00624424,0,0,0.0375787,0,0.0552177,0.0225791,0.0286171,0.013429,0.00932214,0.0130802,0.00719968,0.0711225,0.00523252,0.0111972,0.0126606,0.0125372,0.00597396,0.0226879,0.0285456,0.0346077,0.0404288,0.0263299,0.0329924,0.0110555,0.0410139,0.00410666,0.0241593,0,0,0.0174146,0,0.0160238,0.0186665,0.0471021,0.0481685,0.0121013,0.0121141,0.00746945,0.00515444,0.0104564,0.0309205,0.00398022,0.0101723,0.0198454,0.0163665,0.0291985,0.0305241,0.0269015,0.0162549,0.0196079,0.0207271,0.0256892,0.0347575,0,0,0,0,0,0,0.0145113,0,0,0
19,0.0271746,0.0264983,0,0,0,0,0,0,0.0202732,0.0249479,0.0129417,0.00544779,0,0,0.0371604,0,0.0551098,0.0223877,0.0280605,0.0126835,0.00931718,0.0119644,0.00597296,0.0744862,0.00476627,0.00992656,0.012181,0.0120673,0.00583248,0.0225008,0.0277121,0.034532,0.0406751,0.0262291,0.0330312,0.0105523,0.041464,0.00373766,0.0258173,0,0,0.016976,0,0.0156963,0.0181953,0.047038,0.0488407,0.0124768,0.0117412,0.00619018,0.00488741,0.00943305,0.0308493,0.00415327,0.0106394,0.0197319,0.0162021,0.0292693,0.0306616,0.0268091,0.0161447,0.0175425,0.0202582,0.0278184,0.0363296,0,0,0,0,0,0,0.0118802,0,0,0
20,0.0268708,0.0270811,0,0,0,0,0,0,0.0205634,0.0248333,0.0125202,0.00525369,0,0,0.0361143,0,0.0549719,0.0219097,0.0274146,0.0127863,0.00957271,0.0110741,0.00504568,0.0747291,0.00448321,0.00854688,0.0120237,0.0122398,0.00561206,0.0219188,0.0279284,0.0336913,0.0406183,0.0259553,0.0331595,0.0105544,0.0418289,0.00362294,0.0257479,0,0,0.0164425,0,0.0155165,0.0181835,0.0471339,0.049461,0.0128693,0.0115809,0.00544485,0.00441496,0.00927724,0.0308308,0.00440605,0.0109428,0.019822,0.0161231,0.0292528,0.0305131,0.0265026,0.0156459,0.0174409,0.0201471,0.0284584,0.0361988,0,0,0,0,0,0,0.00981949,0,0,0
21,0.0265058,0.0274604,0,0,0,0,0,0,0.0208782,0.0247424,0.0121232,0.0048857,0,0,0.0349911,0,0.0547729,0.0213564,0.0270363,0.0127395,0.00955159,0.0105652,0.00407685,0.0748315,0.00462774,0.00777541,0.0126308,0.0124799,0.0054829,0.0214314,0.0281544,0.0329128,0.0405056,0.0256074,0.0333506,0.0105332,0.0424165,0.00373564,0.0256738,0,0,0.0159708,0,0.0153697,0.0181491,0.0474422,0.050259,0.0131386,0.0115752,0.00471258,0.00399713,0.0103396,0.0308376,0.00457154,0.0105632,0.0199337,0.0160751,0.0291304,0.030384,0.0262735,0.0151406,0.0172962,0.0200371,0.0289355,0.0362239,0,0,0,0,0,0,0.00795696,0,0,0
22,0.026307,0.0275708,0,0,0,0,0,0,0.0210055,0.0246335,0.011886,0.00449552,0,0,0.0339288,0,0.054576,0.0208523,0.0270858,0.012193,0.00953967,0.0108364,0.00344547,0.0743679,0.00488131,0.00759322,0.0130907,0.0124872,0.00529134,0.0210892,0.0279049,0.0322622,0.0403492,0.0253847,0.0332761,0.0105339,0.0430916,0.0038458,0.0255056,0,0,0.0156214,0,0.0152518,0.0183082,0.0478143,0.0512202,0.0133228,0.0115641,0.00417199,0.00360352,0.0108095,0.0305684,0.00487311,0.00943995,0.0199534,0.0159626,0.0292707,0.0310751,0.02581,0.0146281,0.0171972,0.0199826,0.0291097,0.0362128,0,0,0,0,0,0,0.00679345,0,0,0
23,0.0263628,0.027702,0,0,0,0,0,0,0.0208089,0.0244809,0.011621,0.0043241,0,0,0.0328839,0,0.0543636,0.020379,0.0271231,0.0118968,0.00966841,0.0114687,0.00309662,0.0740655,0.0050761,0.00734479,0.0126846,0.012324,0.00509862,0.020947,0.0274931,0.0317914,0.040164,0.0251831,0.0331512,0.0105316,0.0436496,0.0040203,0.0255094,0,0,0.0153463,0,0.015125,0.0183664,0.0482205,0.0519093,0.0136752,0.0115226,0.00384557,0.00331436,0.0105542,0.0303783,0.00509218,0.008859,0.0199935,0.0158703,0.029512,0.0313047,0.0255148,0.0142524,0.0170575,0.0198941,0.02922,0.0364276,0,0,0,0,0,0,0.00638163,0,0,0
24,0.0264189,0.0278395,0,0,0,0,0,0,0.0202505,0.0243216,0.0112208,0.00433893,0,0,0.0318783,0,0.054131,0.0199087,0.0270984,0.0119795,0.00980381,0.0120658,0.00289863,0.0739372,0.00484673,0.00684089,0.0115771,0.0120452,0.00498924,0.020905,0.0268987,0.0314262,0.0399482,0.0248452,0.0332135,0.0105317,0.0437728,0.00407908,0.0255914,0,0,0.0150903,0,0.0149715,0.018306,0.0485031,0.0521654,0.0139798,0.0113088,0.00367585,0.00315987,0.0102774,0.0304473,0.00507766,0.00891769,0.0200489,0.0158608,0.0296769,0.0307708,0.0255026,0.0140354,0.0169099,0.0197703,0.0292533,0.0367001,0,0,0,0,0,0,0.00644951,0,0,0
25,0.0264747,0.0279618,0,0,0,0,0,0,0.0195343,0.0242366,0.0106858,0.004434,0,0,0.0308293,0,0.0538326,0.0193956,0.0271747,0.0117649,0.00972097,0.0122621,0.00271589,0.0739672,0.00445524,0.00632961,0.0112557,0.0116661,0.00491103,0.0209366,0.0261288,0.0310182,0.0397385,0.0244172,0.0332029,0.0105365,0.0438334,0.0040578,0.0257776,0,0,0.0148863,0,0.0148351,0.0182332,0.0486653,0.052372,0.0141761,0.0110505,0.00346485,0.00314944,0.0100435,0.0304839,0.00507009,0.00913058,0.0201132,0.0158327,0.029813,0.0306085,0.0253944,0.0139309,0.0167455,0.0196405,0.0292008,0.0370406,0,0,0,0,0,0,0.00677301,0,0,0
26,0.026535,0.0280781,0,0,0,0,0,0,0.0187421,0.0242168,0.0103552,0.00440723,0,0,0.0297519,0,0.0534329,0.0188172,0.0274708,0.0114263,0.00972396,0.0122367,0.00261632,0.0741082,0.00389254,0.00607389,0.0117559,0.0113036,0.00487667,0.0210604,0.0251745,0.0307012,0.0395265,0.0240761,0.0330431,0.0105384,0.0439372,0.00402113,0.0260106,0,0,0.0147202,0,0.0146921,0.018219,0.0486822,0.0525296,0.0143301,0.0109107,0.00326146,0.00322028,0.00973964,0.0304684,0.00507547,0.00928248,0.0201891,0.015811,0.0299191,0.0307716,0.0250563,0.0139335,0.0165758,0.0194659,0.0291363,0.0374022,0,0,0,0,0,0,0.00728458,0,0,0
27,0.0266484,0.0282459,0,0,0,0,0,0,0.0180965,0.0239924,0.0102692,0.00428769,0,0,0.0286828,0,0.0530642,0.0182792,0.0279389,0.0112058,0.00983973,0.0120457,0.0025769,0.074353,0.0033251,0.00619381,0.0115647,0.0111806,0.00498922,0.0212278,0.02425,0.0304279,0.0393189,0.0237315,0.0328517,0.0105281,0.043928,0.00390518,0.0262327,0,0,0.0145692,0,0.0145548,0.0182195,0.0486136,0.052576,0.0144476,0.0109636,0.00310397,0.00337827,0.00938603,0.0304565,0.00508836,0.0095244,0.0203374,0.0158262,0.0299954,0.0309531,0.0247452,0.0138832,0.0164264,0.0192743,0.0291592,0.0377657,0,0,0,0,0,0,0.00803919,0,0,0
28,0.0268029,0.0285107,0,0,0,0,0,0,0.0176723,0.0237808,0.010326,0.00423054,0,0,0.0276072,0,0.052755,0.0178865,0.0284658,0.0110701,0.0100251,0.0117897,0.00251555,0.0747008,0.00312289,0.00661211,0.0106991,0.0112811,0.00513257,0.0214034,0.0235076,0.0302065,0.0391246,0.0233331,0.0328084,0.0105479,0.0438113,0.00372007,0.0264482,0,0,0.0143921,0,0.0144322,0.0181339,0.0485829,0.0524159,0.0145646,0.0111665,0.002971,0.00357904,0.00916001,0.0305728,0.0050946,0.0096633,0.0205094,0.0158976,0.0300474,0.0310197,0.0245589,0.0137459,0.0162427,0.0190635,0.0293856,0.0381487,0,0,0,0,0,0,0.00884087,0,0,0
29,0.0269538,0.0288625,0,0,0,0,0,0,0.0173216,0.023659,0.0105185,0.00415037,0,0,0.0265309,0,0.0524194,0.0175109,0.0290292,0.0108913,0.0102116,0.0116451,0.00243203,0.0750621,0.00329266,0.00705047,0.0106125,0.0113075,0.00517821,0.0215752,0.022865,0.0300783,0.0389141,0.0229045,0.0327156,0.0105524,0.0437294,0.00357507,0.0266769,0,0,0.0142035,0,0.0142799,0.0179774,0.0486161,0.0523834,0.0146612,0.0113914,0.00282168,0.00380097,0.0092375,0.0307149,0.00516668,0.00983387,0.0206914,0.0159531,0.030158,0.0311587,0.0242294,0.0135212,0.0160131,0.0188626,0.0297184,0.0384989,0,0,0,0,0,0,0.00957733,0,0,0
30,0.0270708,0.0292295,0,0,0,0,0,0,0.0169028,0.0235878,0.0107369,0.00388465,0,0,0.0255018,0,0.0520692,0.0171303,0.0295816,0.0107127,0.0104526,0.0117667,0.00234364,0.0753739,0.00348978,0.0073998,0.0112948,0.0112126,0.005165,0.0217326,0.0222324,0.029862,0.0387576,0.0224948,0.0325632,0.0105232,0.0438487,0.00348851,0.026895,0,0,0.0139445,0,0.0140869,0.0178447,0.0486784,0.0525953,0.0147772,0.0115244,0.00265018,0.00398698,0.0091991,0.0308246,0.00536702,0.0100651,0.0208735,0.016002,0.0303451,0.0314179,0.0238167,0.0132663,0.0158457,0.0186466,0.0299287,0.0387757,0,0,0,0,0,0,0.0100404,0,0,0
31,0.0271781,0.0296007,0,0,0,0,0,0,0.0164528,0.0234647,0.0107383,0.00360832,0,0,0.024559,0,0.0517714,0.0168732,0.0300681,0.0108644,0.0107944,0.0120472,0.00226133,0.0756608,0.00368641,0.00769565,0.0115514,0.0110433,0.00516566,0.021827,0.021605,0.0297435,0.0386272,0.0220784,0.0323284,0.0105016,0.0441971,0.00349568,0.0270905,0,0,0.0136919,0,0.0139175,0.0177756,0.0487323,0.053088,0.0149738,0.0114725,0.00243536,0.00419026,0.0092458,0.0307957,0.00551517,0.0103279,0.0210274,0.0159869,0.0305752,0.031747,0.0234053,0.0129615,0.0157051,0.018429,0.0301435,0.0389978,0,0,0,0,0,0,0.0101957,0,0,0
32,0.0273207,0.0299538,0,0,0,0,0,0,0.0160807,0.0233336,0.0105621,0.00334345,0,0,0.0237422,0,0.051503,0.0166707,0.0304035,0.0106883,0.0110414,0.0123657,0.00218199,0.0758643,0.00389131,0.00791288,0.011397,0.0108563,0.00514065,0.0218443,0.0210877,0.0297836,0.0385137,0.0216374,0.0321479,0.0104951,0.0445795,0.00360812,0.0272115,0,0,0.0134385,0,0.0137425,0.0176267,0.0488426,0.0536168,0.0152267,0.0113249,0.00220352,0.00437038,0.00926635,0.0307461,0.00554466,0.0106111,0.0211857,0.0159301,0.0308214,0.0320594,0.0229676,0.0126277,0.0152895,0.01815,0.0303434,0.039127,0,0,0,0,0,0,0.0106402,0,0,0
33,0.027483,0.0302194,0,0,0,0,0,0,0.0157886,0.0232372,0.0103665,0.00315577,0,0,0.023021,0,0.0511917,0.0164358,0.0305799,0.0101829,0.0113316,0.0125271,0.0023329,0.0758668,0.00409491,0.00803679,0.0111792,0.0107096,0.00507674,0.021812,0.0206929,0.0299327,0.0383806,0.0212825,0.0320776,0.0105043,0.0449028,0.00376504,0.0272004,0,0,0.0132248,0,0.0135786,0.0174033,0.0490083,0.0540974,0.0155427,0.0112182,0.00203495,0.00458126,0.00929107,0.0307425,0.00553857,0.0110343,0.0213026,0.0158574,0.0311209,0.0325368,0.0225341,0.0123146,0.0148322,0.0178442,0.0304916,0.0391355,0,0,0,0,0,0,0.0109622,0,0,0
34,0.0277511,0.0304284,0,0,0,0,0,0,0.0155113,0.0231324,0.0102305,0.00296193,0,0,0.0225815,0,0.0508212,0.0164805,0.0305532,0.00999269,0.0114802,0.012532,0.00275045,0.075727,0.00426235,0.00808294,0.0110847,0.0105843,0.00498836,0.021782,0.020354,0.0302402,0.0382031,0.0209277,0.0320263,0.0104834,0.0451362,0.0039599,0.0270932,0,0,0.0129829,0,0.0133814,0.0171646,0.0491638,0.0545417,0.0158663,0.0112612,0.00203581,0.00482284,0.00927397,0.0308263,0.00550687,0.0109777,0.0213548,0.015795,0.0313608,0.0332009,0.0220972,0.0120324,0.0143905,0.0175094,0.030602,0.0390732,0,0,0,0,0,0,0.0109927,0,0,0
35,0.0279488,0.0305293,0,0,0,0,0,0,0.0151781,0.0229656,0.0102075,0.00278754,0,0,0.0223096,0,0.0504749,0.0167089,0.0304089,0.0101852,0.011777,0.0124873,0.00336754,0.0754691,0.00439283,0.00807577,0.0110886,0.0105044,0.00491123,0.0217876,0.0199864,0.0306799,0.0380022,0.0205204,0.0319709,0.0104259,0.0452752,0.00416216,0.0269104,0,0,0.0127187,0,0.0131301,0.0169797,0.0492154,0.0549616,0.0162463,0.0114544,0.00227194,0.00506644,0.00920005,0.0308923,0.0055191,0.0107557,0.0213994,0.0157067,0.0316081,0.0333338,0.0218012,0.0117698,0.0139571,0.0171597,0.0306181,0.038915,0,0,0,0,0,0,0.0107991,0,0,0
