Timestep,C7,CLAV,IMUL_B,IMUL_M,IMUL_T,IMUR_B,IMUR_M,IMUR_T,L5FT,L5HD,LANK,LASI,LBHD,LEAR,LELB,LFHD,LFIN,LFRM,LGTR,LHEE,LILC,LKNE,LPSI,LSHO,LTHI,LTHIA,LTIB,LTIBA,LTIBI,LTIBP,LTOE,LUPA,LWRA,LWRB,R5FT,R5HD,RANK,RASI,RBAK,RBHD,REAR,RELB,RFHD,RFIN,RFRM,RGTR,RHEE,RILC,RKNE,RPSI,RSHO,RTHI,RTHIA,RTHII,RTHIP,RTIB,RTIBA,RTIBI,RTIBP,RTOE,RUPA,RWRA,RWRB,STRN,T10,WBL,WBR,WFL,WFR,x73,x74,LTHII,x71,x72,LTHIP
462,0.0095504,0.00351851,0,0,0,0,0,0,0.00745956,0.0185776,0.00495281,0.00692939,0,0,0.140659,0,0.0235816,0.0807744,0.0312344,0.00620021,0.0163267,0.00633341,0.0147882,0.0296095,0.00467736,0.00407351,0.00376141,0.0042614,0.00292121,0.0245119,0.0101893,0.0891029,0.0145515,0.014461,0.00685436,0.00545984,0.00815749,0.00941667,0.00649773,0,0,0.0689394,0,0.0234094,0.0316695,0.0600601,0.0104952,0.0268421,0.00713725,0.0155588,0.00792462,0.0022365,0.0290556,0.0010515,0.0019198,0.00795846,0.0230817,0.00843162,0.0082707,0.00532741,0.053231,0.0110629,0.0106085,0.00525358,0.0133028,0,0,0,0,0,0,0.00543344,0,0,0.022846
463,0.00968138,0.00354769,0,0,0,0,0,0,0.00734835,0.0187026,0.00487166,0.00680979,0,0,0.139759,0,0.0236845,0.0802244,0.0312246,0.00615961,0.0162988,0.00624341,0.0146633,0.0293837,0.00461959,0.00400264,0.00364358,0.00414292,0.00284458,0.0244941,0.0102089,0.0887609,0.0148834,0.0144906,0.00684032,0.00546016,0.00832801,0.00940005,0.00656996,0,0,0.0685575,0,0.0233867,0.0315602,0.0601661,0.010622,0.0267886,0.00715044,0.015426,0.00778475,0.00225784,0.0289881,0.00103313,0.00185903,0.00799253,0.0230473,0.00843793,0.00833974,0.00533968,0.0528744,0.0110985,0.0106724,0.00481344,0.0132738,0,0,0,0,0,0,0.00530799,0,0,0.0228677
464,0.00963982,0.00347048,0,0,0,0,0,0,0.00733057,0.0189159,0.00483451,0.00679903,0,0,0.138711,0,0.0236791,0.079673,0.0312193,0.00613928,0.0162764,0.00620177,0.0146375,0.0294293,0.00463604,0.00396332,0.00354052,0.00405781,0.00279296,0.0244885,0.0103526,0.0879654,0.0150771,0.0145214,0.00676524,0.00546479,0.00848797,0.00935755,0.00652139,0,0,0.0680396,0,0.0234127,0.0313091,0.0601861,0.0107919,0.026794,0.00718578,0.015409,0.00772078,0.00217942,0.0289677,0.00107984,0.00173907,0.00808757,0.023075,0.00832223,0.00843038,0.00525035,0.0524215,0.0110562,0.0107366,0.00468272,0.0131828,0,0,0,0,0,0,0.00526225,0,0,0.0229624
465,0.00964305,0.00345499,0,0,0,0,0,0,0.00733236,0.018898,0.00477981,0.00683827,0,0,0.137671,0,0.0237305,0.0791522,0.0312173,0.00608966,0.0162119,0.00619472,0.0145888,0.0295628,0.00464685,0.00396444,0.00350687,0.00401054,0.00276449,0.0244678,0.0102533,0.0869965,0.0151022,0.0145225,0.00682245,0.0054559,0.00859856,0.00929306,0.00653883,0,0,0.0674807,0,0.0234223,0.0310148,0.0602075,0.0109223,0.0267842,0.00714467,0.0153886,0.00763834,0.00218272,0.0289775,0.00107186,0.00167592,0.0081519,0.0230801,0.00830092,0.00849546,0.00524924,0.0520117,0.011093,0.0107994,0.00453721,0.0131527,0,0,0,0,0,0,0.00530293,0,0,0.0228656
466,0.00970576,0.00350337,0,0,0,0,0,0,0.00729499,0.0189035,0.0047213,0.00669755,0,0,0.13655,0,0.023916,0.0785418,0.0312358,0.00604826,0.0161917,0.00617396,0.01457,0.029712,0.00463958,0.00395154,0.00349655,0.00396327,0.0027304,0.0244437,0.0101213,0.0860958,0.0151104,0.0145952,0.00676952,0.0054489,0.00860722,0.00925816,0.00662845,0,0,0.0669608,0,0.0234256,0.0307036,0.0602553,0.0108559,0.0268161,0.00707092,0.0154073,0.00751849,0.00226176,0.0289759,0.00106571,0.00173454,0.00813439,0.0231063,0.00808396,0.00846988,0.00522191,0.0517025,0.0112209,0.0108648,0.00436117,0.0131775,0,0,0,0,0,0,0.0053401,0,0,0.0227703
467,0.00979355,0.00362264,0,0,0,0,0,0,0.00724172,0.0189606,0.00467863,0.00665624,0,0,0.135315,0,0.0241942,0.0778303,0.0312464,0.00600982,0.0162092,0.00614269,0.014573,0.0298656,0.00465308,0.00395513,0.00345256,0.00389825,0.0026804,0.0244045,0.010091,0.0852417,0.0151702,0.0147179,0.00650059,0.00547479,0.00862641,0.0092568,0.00673483,0,0,0.066527,0,0.0234115,0.0305285,0.0603469,0.0105861,0.0268347,0.00703502,0.0154138,0.00744405,0.00234226,0.0289626,0.00108045,0.00185453,0.00810533,0.0231714,0.00844274,0.00838501,0.00504492,0.0515197,0.0112798,0.0109395,0.00424087,0.0131963,0,0,0,0,0,0,0.005336,0,0,0.0227389
468,0.00989731,0.00380367,0,0,0,0,0,0,0.007195,0.0189969,0.00464387,0.00671914,0,0,0.13401,0,0.0244609,0.0770875,0.0312431,0.00597359,0.0162073,0.00610764,0.0145196,0.0300932,0.00467308,0.00397862,0.00333901,0.00380745,0.00262548,0.0243995,0.0101592,0.0843598,0.0152663,0.0148114,0.00641401,0.00552164,0.0086946,0.00925846,0.00683717,0,0,0.0659961,0,0.0233924,0.0303869,0.0604135,0.0106063,0.02681,0.00704372,0.0153513,0.00732821,0.00234426,0.0289366,0.00107346,0.00184428,0.00812408,0.0232038,0.00867996,0.00840793,0.00504054,0.0513343,0.0112378,0.0110128,0.00419791,0.0132104,0,0,0,0,0,0,0.00529257,0,0,0.022756
469,0.0100018,0.00404901,0,0,0,0,0,0,0.00721024,0.0190166,0.00463551,0.00679008,0,0,0.132647,0,0.0247051,0.0762896,0.0312317,0.00593266,0.0161923,0.00613369,0.014434,0.0302988,0.00466652,0.00402047,0.00322415,0.00373324,0.00255282,0.0243797,0.0102928,0.0834069,0.0153946,0.0148804,0.00651335,0.00555892,0.00873882,0.00923267,0.00695642,0,0,0.0655431,0,0.0233368,0.0302275,0.0604512,0.0107952,0.026765,0.00706383,0.0152459,0.00729438,0.00233573,0.0289233,0.00102362,0.00173734,0.00815588,0.023194,0.00834922,0.00850869,0.00510816,0.0510509,0.0110396,0.011018,0.00424242,0.0132385,0,0,0,0,0,0,0.00525762,0,0,0.0228092
470,0.0101773,0.00434651,0,0,0,0,0,0,0.00720819,0.0190583,0.00458714,0.00665754,0,0,0.131287,0,0.0249637,0.0754879,0.0312249,0.00588422,0.0161694,0.00610943,0.0143166,0.0304463,0.00467097,0.00402228,0.00312618,0.00364832,0.00249588,0.0243644,0.0101983,0.0825324,0.0155561,0.0149693,0.0065783,0.00557312,0.00853786,0.00918242,0.00717007,0,0,0.0649469,0,0.0232802,0.0301529,0.0605297,0.0108084,0.0267292,0.00705104,0.0151017,0.00724306,0.00238988,0.0289829,0.000940089,0.0017083,0.00812186,0.0231618,0.00809614,0.00852051,0.00510238,0.0505734,0.0109979,0.0110882,0.00436951,0.0133735,0,0,0,0,0,0,0.00522574,0,0,0.0228585
471,0.0103979,0.00470046,0,0,0,0,0,0,0.00739278,0.0191637,0.00453523,0.00656334,0,0,0.129876,0,0.0252224,0.0747151,0.0311889,0.00580387,0.0161479,0.00614845,0.0142438,0.0305967,0.00470659,0.0040748,0.00306091,0.00360961,0.00245343,0.0243282,0.0102726,0.0816418,0.0158539,0.0150547,0.00665149,0.00576286,0.00833263,0.00916817,0.00738842,0,0,0.0649699,0,0.0231725,0.0303831,0.0606144,0.0107921,0.0266628,0.00709281,0.0150113,0.00718888,0.00241449,0.0289805,0.000868003,0.0016819,0.00810362,0.0231514,0.00813655,0.00852642,0.00511742,0.0505988,0.0100021,0.0105965,0.00464815,0.0135245,0,0,0,0,0,0,0.00525297,0,0,0.0228653
